Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.0,4:00 PM,T-Mobile Center,33,Arkansas,16,Illinois,Arkansas,Arkansas,Illinois,Illinois,+2.5,−112,True,-2.5,−108,False,Arkansas,172-165-4,51.0%,5.6,0.2,55-51-0,51.9%,-2.9,-0.1,Illinois,159-159-11,50.0%,5.3,0.4,80-74-7,52.0%,12.2,1.3,Arkansas,+2.5,−112,54-58-0,48.2%,-6.6,-1.1,Illinois,-2.5,−108,105-94-8,52.8%,11.2,0.6
2,97.3,5:00 PM,Imperial Arena,48,Oklahoma,11,Arizona,Oklahoma,Oklahoma,Arizona,Arizona,+6.5,−108,True,-6.5,−112,False,Oklahoma,154-167-6,48.0%,4.4,0.1,44-61-4,41.9%,-4.5,-1.4,Arizona,172-167-8,50.7%,11.3,0.7,84-81-5,50.9%,17.9,2.2,Oklahoma,+6.5,−108,67-62-4,51.9%,-4.2,0.9,Arizona,-6.5,−112,154-146-7,51.3%,13.2,0.7
3,96.8,5:30 PM,LionTree Arena,29,Byu,41,Mississippi,BYU,Brigham Young,Ole Miss,Mississippi,-3,−115,False,+3,−105,True,Byu,165-151-9,52.2%,8.4,1.0,54-51-2,51.4%,2.6,1.1,Mississippi,162-160-5,50.3%,1.8,-1.0,79-87-3,47.6%,6.1,-1.4,Mississippi,+3,−105,74-65-1,53.2%,-5.2,0.7,Byu,-3,−115,131-111-5,54.1%,11.7,1.0
3,96.8,2:30 PM,Imperial Arena,45,Indiana,4,Gonzaga,Indiana,Indiana,Gonzaga,Gonzaga,+9.5,−112,True,-9.5,−108,False,Indiana,164-164-5,50.0%,4.6,-0.3,39-62-4,38.6%,-4.6,-1.1,Gonzaga,182-164-9,52.6%,18.1,1.5,85-63-4,57.4%,25.9,2.1,Indiana,+9.5,−112,58-65-2,47.2%,-6.2,-0.4,Gonzaga,-9.5,−108,174-152-9,53.4%,18.9,1.8
5,95.9,3:00 PM,LionTree Arena,19,Purdue,55,Nc State,Purdue,Purdue,North Carolina State,NC State,-7,−110,False,N/A,N/A,False,Purdue,174-158-11,52.4%,10.0,1.1,44-57-5,43.6%,1.3,-1.0,Nc State,150-170-9,46.9%,3.8,0.3,76-93-3,45.0%,9.2,-0.1,Nc State,N/A,N/A,65-70-6,48.2%,-5.4,0.9,Purdue,-7,−110,142-128-9,52.6%,12.4,1.1
6,95.6,12:00 PM,Imperial Arena,52,W Virginia,40,Louisville,West Virginia,West Virginia,Louisville,Louisville,+4,−115,True,-4,−105,False,W Virginia,165-169-2,49.4%,5.3,0.0,42-60-1,41.2%,-4.3,-2.1,Louisville,144-161-9,47.2%,4.0,-0.6,78-87-6,47.3%,9.4,-0.6,W Virginia,+4,−115,50-66-1,43.1%,-7.4,-1.3,Louisville,-4,−105,90-93-6,49.2%,11.2,-0.1
7,94.9,12:30 AM,MGM Grand Arena,69,Notre Dame,3,Houston,Notre Dame,Notre Dame,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Notre Dame,156-161-8,49.2%,3.9,-0.3,56-48-4,53.9%,-2.8,1.0,Houston,182-143-7,56.0%,12.4,2.4,90-59-6,60.4%,18.7,3.8,Houston,N/A,N/A,31-25-0,55.4%,-2.9,3.2,Notre Dame,N/A,N/A,77-96-4,44.5%,8.0,-1.7
8,93.3,11:30 PM,Acrisure Arena,46,New Mexico,70,Arizona St,New Mexico,New Mexico,Arizona State,Arizona State,-4,−110,False,+4,−110,True,New Mexico,151-152-5,49.8%,2.6,-0.4,51-63-1,44.7%,-4.7,-1.4,Arizona St,146-168-10,46.5%,1.0,-0.5,75-80-4,48.4%,7.1,0.4,Arizona St,+4,−110,73-72-6,50.3%,-6.7,-0.1,New Mexico,-4,−110,87-80-2,52.1%,8.4,-0.2
9,93.0,7:00 PM,Mullett Arena,57,Northwestern,68,Butler,Northwestern,Northwestern,Butler,Butler,-2.5,−108,False,+2.5,−112,True,Northwestern,156-151-10,50.8%,2.4,0.4,59-48-3,55.1%,-5.0,1.0,Butler,163-157-5,50.9%,3.5,0.1,84-75-3,52.8%,10.1,1.0,Butler,+2.5,−112,60-72-2,45.5%,-7.6,-1.7,Northwestern,-2.5,−108,76-73-4,51.0%,10.9,0.6
10,91.6,2:30 PM,Wide World of Sports Complex,87,Wake Forest,24,Florida,Wake Forest,Wake Forest,Florida,Florida,+7,−112,True,-7,−108,False,Wake Forest,149-157-6,48.7%,0.5,0.1,50-65-1,43.5%,-6.7,-0.4,Florida,157-176-5,47.2%,5.8,-0.1,66-83-1,44.3%,10.6,-0.4,Wake Forest,+7,−112,78-90-1,46.4%,-8.1,-0.5,Florida,-7,−108,119-119-4,50.0%,9.8,0.0
