Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,98.0,4:00 PM,T-Mobile Center,33,Arkansas,16,Illinois,Arkansas,Arkansas,Illinois,Illinois,+2.5,−112,True,-2.5,−108,False,Arkansas,2-4-0,33.3%,22.0,5.0,0,0,0.0,0.0,Illinois,4-2-0,66.7%,30.2,9.1,4-1-0,80.0%,38.8,+11.8,Arkansas,+2.5,−112,0-1-0,0.0%,-5.0,-0.5,Illinois,-2.5,−108,4-1-0,80.0%,38.8,11.8,1,98.0,4:00 PM,T-Mobile Center,33,Arkansas,16,Illinois,Arkansas,Arkansas,Illinois,Illinois,+2.5,−112,True,-2.5,−108,False,Arkansas,368-397-15,48.1%,5.1,-0.4,111-155-4,41.7%,-5.6,-1.7,Illinois,419-413-25,50.4%,6.5,0.5,193-181-14,51.6%,12.8,1.1,Arkansas,+2.5,−112,134-167-6,44.5%,-6.9,-1.0,Illinois,-2.5,−108,284-262-20,52.0%,10.5,0.4,1,98.0,4:00 PM,T-Mobile Center,33,Arkansas,16,Illinois,Arkansas,Arkansas,Illinois,Illinois,+2.5,−112,True,-2.5,−108,False,Arkansas,172-165-4,51.0%,5.6,0.2,55-51-0,51.9%,-2.9,-0.1,Illinois,159-159-11,50.0%,5.3,0.4,80-74-7,52.0%,12.2,1.3,Arkansas,+2.5,−112,54-58-0,48.2%,-6.6,-1.1,Illinois,-2.5,−108,105-94-8,52.8%,11.2,0.6
2,97.3,5:00 PM,Imperial Arena,48,Oklahoma,11,Arizona,Oklahoma,Oklahoma,Arizona,Arizona,+6.5,−108,True,-6.5,−112,False,Oklahoma,2-3-0,40.0%,20.0,-1.5,0,0,0.0,0.0,Arizona,2-3-0,40.0%,18.2,0.4,1-2-0,33.3%,24.3,+1.3,Oklahoma,+6.5,−108,0,0,0.0,0.0,Arizona,-6.5,−112,2-3-0,40.0%,18.2,0.4,2,97.3,5:00 PM,Imperial Arena,48,Oklahoma,11,Arizona,Oklahoma,Oklahoma,Arizona,Arizona,+6.5,−108,True,-6.5,−112,False,Oklahoma,392-399-14,49.6%,5.9,0.2,125-148-9,45.8%,-3.1,-0.8,Arizona,450-439-14,50.6%,9.6,0.6,206-214-6,49.1%,15.2,0.9,Oklahoma,+6.5,−108,148-147-5,50.2%,-5.4,0.4,Arizona,-6.5,−112,359-369-13,49.3%,12.0,0.5,2,97.3,5:00 PM,Imperial Arena,48,Oklahoma,11,Arizona,Oklahoma,Oklahoma,Arizona,Arizona,+6.5,−108,True,-6.5,−112,False,Oklahoma,154-167-6,48.0%,4.4,0.1,44-61-4,41.9%,-4.5,-1.4,Arizona,172-167-8,50.7%,11.3,0.7,84-81-5,50.9%,17.9,2.2,Oklahoma,+6.5,−108,67-62-4,51.9%,-4.2,0.9,Arizona,-6.5,−112,154-146-7,51.3%,13.2,0.7
3,96.8,5:30 PM,LionTree Arena,29,Byu,41,Mississippi,BYU,Brigham Young,Ole Miss,Mississippi,-3,−115,False,+3,−105,True,Byu,2-3-0,40.0%,31.2,-1.0,0,0,0.0,0.0,Mississippi,2-2-1,50.0%,17.8,-1.9,1-2-1,33.3%,18.5,-4.8,Mississippi,+3,−105,0,0,0.0,0.0,Byu,-3,−115,2-3-0,40.0%,31.2,-1.0,3,96.8,5:30 PM,LionTree Arena,29,Byu,41,Mississippi,BYU,Brigham Young,Ole Miss,Mississippi,-3,−115,False,+3,−105,True,Byu,415-386-18,51.8%,7.6,1.0,148-152-6,49.3%,0.8,0.6,Mississippi,389-387-14,50.1%,3.4,-0.6,189-179-9,51.4%,9.6,-0.2,Mississippi,+3,−105,174-174-4,50.0%,-6.4,-0.3,Byu,-3,−115,323-247-9,56.7%,12.1,1.8,3,96.8,5:30 PM,LionTree Arena,29,Byu,41,Mississippi,BYU,Brigham Young,Ole Miss,Mississippi,-3,−115,False,+3,−105,True,Byu,165-151-9,52.2%,8.4,1.0,54-51-2,51.4%,2.6,1.1,Mississippi,162-160-5,50.3%,1.8,-1.0,79-87-3,47.6%,6.1,-1.4,Mississippi,+3,−105,74-65-1,53.2%,-5.2,0.7,Byu,-3,−115,131-111-5,54.1%,11.7,1.0
3,96.8,2:30 PM,Imperial Arena,45,Indiana,4,Gonzaga,Indiana,Indiana,Gonzaga,Gonzaga,+9.5,−112,True,-9.5,−108,False,Indiana,2-3-0,40.0%,10.6,-6.2,0,0,0.0,0.0,Gonzaga,4-2-0,66.7%,25.5,6.3,3-1-0,75.0%,37.0,+14.6,Indiana,+9.5,−112,0,0,0.0,0.0,Gonzaga,-9.5,−108,4-2-0,66.7%,25.5,6.3,3,96.8,2:30 PM,Imperial Arena,45,Indiana,4,Gonzaga,Indiana,Indiana,Gonzaga,Gonzaga,+9.5,−112,True,-9.5,−108,False,Indiana,413-423-16,49.4%,4.6,-0.1,119-162-8,42.4%,-4.2,-1.2,Gonzaga,457-411-20,52.7%,14.2,1.2,195-164-9,54.3%,22.0,1.6,Indiana,+9.5,−112,149-169-6,46.9%,-6.8,-0.2,Gonzaga,-9.5,−108,393-361-20,52.1%,15.5,1.1,3,96.8,2:30 PM,Imperial Arena,45,Indiana,4,Gonzaga,Indiana,Indiana,Gonzaga,Gonzaga,+9.5,−112,True,-9.5,−108,False,Indiana,164-164-5,50.0%,4.6,-0.3,39-62-4,38.6%,-4.6,-1.1,Gonzaga,182-164-9,52.6%,18.1,1.5,85-63-4,57.4%,25.9,2.1,Indiana,+9.5,−112,58-65-2,47.2%,-6.2,-0.4,Gonzaga,-9.5,−108,174-152-9,53.4%,18.9,1.8
5,95.9,3:00 PM,LionTree Arena,19,Purdue,55,Nc State,Purdue,Purdue,North Carolina State,NC State,-7,−110,False,N/A,N/A,False,Purdue,3-3-0,50.0%,12.2,0.3,0-1-0,0.0%,-18.0,-12.5,Nc State,3-2-0,60.0%,19.6,1.4,3-2-0,60.0%,19.6,+1.4,Nc State,N/A,N/A,0,0,0.0,0.0,Purdue,-7,−110,2-2-0,50.0%,20.5,0.4,5,95.9,3:00 PM,LionTree Arena,19,Purdue,55,Nc State,Purdue,Purdue,North Carolina State,NC State,-7,−110,False,N/A,N/A,False,Purdue,419-418-21,50.1%,6.8,0.4,126-149-8,45.8%,-1.3,-0.5,Nc State,394-406-23,49.3%,3.9,0.3,187-213-13,46.8%,9.5,-0.3,Nc State,N/A,N/A,187-184-11,50.4%,-6.0,0.8,Purdue,-7,−110,300-282-15,51.6%,11.0,0.6,5,95.9,3:00 PM,LionTree Arena,19,Purdue,55,Nc State,Purdue,Purdue,North Carolina State,NC State,-7,−110,False,N/A,N/A,False,Purdue,174-158-11,52.4%,10.0,1.1,44-57-5,43.6%,1.3,-1.0,Nc State,150-170-9,46.9%,3.8,0.3,76-93-3,45.0%,9.2,-0.1,Nc State,N/A,N/A,65-70-6,48.2%,-5.4,0.9,Purdue,-7,−110,142-128-9,52.6%,12.4,1.1
6,95.6,12:00 PM,Imperial Arena,52,W Virginia,40,Louisville,West Virginia,West Virginia,Louisville,Louisville,+4,−115,True,-4,−105,False,W Virginia,3-2-0,60.0%,12.2,8.7,0-1-0,0.0%,-24.0,-16.5,Louisville,3-2-0,60.0%,20.2,6.0,2-2-0,50.0%,18.3,-0.6,W Virginia,+4,−115,1-1-0,50.0%,-8.0,3.3,Louisville,-4,−105,2-2-0,50.0%,18.3,-0.6,6,95.6,12:00 PM,Imperial Arena,52,W Virginia,40,Louisville,West Virginia,West Virginia,Louisville,Louisville,+4,−115,True,-4,−105,False,W Virginia,408-417-10,49.5%,4.5,0.1,123-164-5,42.9%,-3.9,-1.2,Louisville,422-410-23,50.7%,7.3,0.4,208-213-15,49.4%,12.1,0.0,W Virginia,+4,−115,153-183-7,45.5%,-6.6,-0.5,Louisville,-4,−105,305-286-16,51.6%,11.6,0.6,6,95.6,12:00 PM,Imperial Arena,52,W Virginia,40,Louisville,West Virginia,West Virginia,Louisville,Louisville,+4,−115,True,-4,−105,False,W Virginia,165-169-2,49.4%,5.3,0.0,42-60-1,41.2%,-4.3,-2.1,Louisville,144-161-9,47.2%,4.0,-0.6,78-87-6,47.3%,9.4,-0.6,W Virginia,+4,−115,50-66-1,43.1%,-7.4,-1.3,Louisville,-4,−105,90-93-6,49.2%,11.2,-0.1
7,94.9,12:30 AM,MGM Grand Arena,69,Notre Dame,3,Houston,Notre Dame,Notre Dame,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Notre Dame,3-3-1,50.0%,8.1,-1.8,1-0-0,100.0%,21.0,18.0,Houston,3-3-0,50.0%,23.3,2.8,3-0-0,100.0%,46.3,+14.0,Houston,N/A,N/A,0,0,0.0,0.0,Notre Dame,N/A,N/A,2-3-0,40.0%,13.8,-3.6,7,94.9,12:30 AM,MGM Grand Arena,69,Notre Dame,3,Houston,Notre Dame,Notre Dame,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Notre Dame,388-399-18,49.3%,5.1,0.1,145-133-6,52.2%,-2.5,1.0,Houston,402-361-15,52.7%,4.8,1.1,194-149-10,56.6%,11.0,2.1,Houston,N/A,N/A,162-167-4,49.2%,-7.7,0.6,Notre Dame,N/A,N/A,201-243-13,45.3%,8.1,-1.1,7,94.9,12:30 AM,MGM Grand Arena,69,Notre Dame,3,Houston,Notre Dame,Notre Dame,Houston,Houston,N/A,N/A,False,N/A,N/A,False,Notre Dame,156-161-8,49.2%,3.9,-0.3,56-48-4,53.9%,-2.8,1.0,Houston,182-143-7,56.0%,12.4,2.4,90-59-6,60.4%,18.7,3.8,Houston,N/A,N/A,31-25-0,55.4%,-2.9,3.2,Notre Dame,N/A,N/A,77-96-4,44.5%,8.0,-1.7
8,93.3,11:30 PM,Acrisure Arena,46,New Mexico,70,Arizona St,New Mexico,New Mexico,Arizona State,Arizona State,-4,−110,False,+4,−110,True,New Mexico,3-3-0,50.0%,12.2,0.4,0-1-0,0.0%,-14.0,-7.0,Arizona St,4-2-0,66.7%,6.0,3.7,1-2-0,33.3%,8.7,-7.0,Arizona St,+4,−110,3-0-0,100.0%,3.3,14.3,New Mexico,-4,−110,2-2-0,50.0%,19.8,-0.8,8,93.3,11:30 PM,Acrisure Arena,46,New Mexico,70,Arizona St,New Mexico,New Mexico,Arizona State,Arizona State,-4,−110,False,+4,−110,True,New Mexico,407-364-19,52.8%,5.0,0.1,150-143-8,51.2%,-3.0,-0.3,Arizona St,374-406-18,48.0%,1.9,-0.4,194-203-6,48.9%,7.6,-0.2,Arizona St,+4,−110,182-185-13,49.6%,-6.8,0.0,New Mexico,-4,−110,265-220-11,54.6%,9.4,0.4,8,93.3,11:30 PM,Acrisure Arena,46,New Mexico,70,Arizona St,New Mexico,New Mexico,Arizona State,Arizona State,-4,−110,False,+4,−110,True,New Mexico,151-152-5,49.8%,2.6,-0.4,51-63-1,44.7%,-4.7,-1.4,Arizona St,146-168-10,46.5%,1.0,-0.5,75-80-4,48.4%,7.1,0.4,Arizona St,+4,−110,73-72-6,50.3%,-6.7,-0.1,New Mexico,-4,−110,87-80-2,52.1%,8.4,-0.2
9,93.0,7:00 PM,Mullett Arena,57,Northwestern,68,Butler,Northwestern,Northwestern,Butler,Butler,-2.5,−108,False,+2.5,−112,True,Northwestern,1-4-1,20.0%,13.0,-0.7,0-1-0,0.0%,-5.0,-0.5,Butler,3-2-0,60.0%,15.0,2.5,3-2-0,60.0%,15.0,+2.5,Butler,+2.5,−112,1-0-0,100.0%,11.0,12.5,Northwestern,-2.5,−108,1-3-1,25.0%,16.6,-0.7,9,93.0,7:00 PM,Mullett Arena,57,Northwestern,68,Butler,Northwestern,Northwestern,Butler,Butler,-2.5,−108,False,+2.5,−112,True,Northwestern,369-376-15,49.5%,0.0,0.0,150-140-6,51.7%,-8.0,0.5,Butler,427-393-21,52.1%,5.8,0.7,197-178-10,52.5%,11.6,1.1,Butler,+2.5,−112,142-128-7,52.6%,-5.3,0.3,Northwestern,-2.5,−108,143-143-5,50.0%,8.3,-0.2,9,93.0,7:00 PM,Mullett Arena,57,Northwestern,68,Butler,Northwestern,Northwestern,Butler,Butler,-2.5,−108,False,+2.5,−112,True,Northwestern,156-151-10,50.8%,2.4,0.4,59-48-3,55.1%,-5.0,1.0,Butler,163-157-5,50.9%,3.5,0.1,84-75-3,52.8%,10.1,1.0,Butler,+2.5,−112,60-72-2,45.5%,-7.6,-1.7,Northwestern,-2.5,−108,76-73-4,51.0%,10.9,0.6
10,91.6,2:30 PM,Wide World of Sports Complex,87,Wake Forest,24,Florida,Wake Forest,Wake Forest,Florida,Florida,+7,−112,True,-7,−108,False,Wake Forest,1-6-0,14.3%,6.6,-11.7,0-1-0,0.0%,-15.0,-7.5,Florida,3-3-0,50.0%,20.3,0.1,1-3-0,25.0%,23.5,-2.8,Wake Forest,+7,−112,1-1-0,50.0%,-6.5,-1.8,Florida,-7,−108,3-3-0,50.0%,20.3,0.1,10,91.6,2:30 PM,Wide World of Sports Complex,87,Wake Forest,24,Florida,Wake Forest,Wake Forest,Florida,Florida,+7,−112,True,-7,−108,False,Wake Forest,371-407-16,47.7%,1.9,-0.2,137-165-3,45.4%,-5.4,-0.4,Florida,419-407-17,50.7%,9.4,0.5,177-185-2,48.9%,16.0,0.7,Wake Forest,+7,−112,181-209-4,46.4%,-8.3,-0.4,Florida,-7,−108,325-312-12,51.0%,10.4,0.4,10,91.6,2:30 PM,Wide World of Sports Complex,87,Wake Forest,24,Florida,Wake Forest,Wake Forest,Florida,Florida,+7,−112,True,-7,−108,False,Wake Forest,149-157-6,48.7%,0.5,0.1,50-65-1,43.5%,-6.7,-0.4,Florida,157-176-5,47.2%,5.8,-0.1,66-83-1,44.3%,10.6,-0.4,Wake Forest,+7,−112,78-90-1,46.4%,-8.1,-0.5,Florida,-7,−108,119-119-4,50.0%,9.8,0.0
