Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Miami-Florida,Tennessee,Miami-Florida,+14.5,144.5.,137,[]
North Dakota State,Butler,North Dakota State,+13.5,142.5.,139,[]
Albany,Syracuse,Syracuse,-12.5,156.5.,187,[]
Charleston,Saint Joseph'S,Charleston,+7.5,150.5.,153,[]
Coppin St.,NC State,Coppin St.,+31.5,136.5.,122,[]
North Carolina Central,West Virginia,West Virginia,-23.5,142.,124,[]
Rhode Island,Brown,Brown,+4,150.5.,164,[]
Monmouth-NJ,Princeton,Monmouth-NJ,+14,145.5.,138,[]
Morgan St.,Xavier,Xavier,-28.5,155.5.,177,[]
Penn St.,Rutgers,Rutgers,-2.5,157.5.,156,[]
Incarnate Word,Duke,Incarnate Word,+33.5,143.,118,[]
Charlotte,Davidson,Charlotte,+8,139.5.,146,[]
Jacksonville,Florida Atlantic,Florida Atlantic,-12.5,154.5.,148,[]
Troy,Houston,Troy,+27,132.5.,104,[]
Tennessee St.,Western Kentucky,Western Kentucky,-14,161.,144,[]
Southern Miss,Tulane,Tulane,-6.5,144.,144 pushed the pre-game total of 144.,[]
Providence,DePaul,Providence,+2,138.5.,133,[]
Wisconsin,Illinois,Wisconsin,+7,152.5.,166,[]
Michigan,Arkansas,Arkansas,+4,148.,176,[]
Kansas City,Portland,Kansas City,+2.5,142.,133,[]
Long Beach St.,San Diego,Long Beach St.,+4,140.,146,[]
Cornell,California,Cornell,+9,166.5.,168,[]
Eastern Washington,Washington,Washington,-13,146.5.,156,[]
