Team,ATS Record,Cover %,MOV,ATS +/-
Valparaiso,34-31-4,52.3%,0.7,-0.8
Prairie View,23-21-2,52.3%,-9.2,+0.6
San Diego St,36-33-4,52.2%,9.3,+0.7
Oklahoma St,36-33-2,52.2%,3.0,+1.1
GA Tech,49-45-1,52.1%,-0.2,+0.4
NC A&T,25-23-0,52.1%,-7.8,+1.1
Evansville,38-35-0,52.1%,-2.8,-0.8
Col Charlestn,27-25-0,51.9%,3.1,+1.1
Colgate,27-25-0,51.9%,0.6,-0.3
Northwestern,42-39-4,51.9%,2.3,+0.5
Florida,42-39-0,51.9%,7.4,+1.4
Cornell,28-26-1,51.9%,-3.7,+0.9
DePaul,43-40-0,51.8%,-2.7,+1.2
Temple,44-41-2,51.8%,0.8,0.0
Coppin St,30-28-2,51.7%,-19.3,-1.2
Colorado St,46-43-0,51.7%,4.3,+0.9
S Car State,31-29-1,51.7%,-10.9,+0.8
N Dakota St,31-29-0,51.7%,-1.4,+1.6
Wright St,31-29-2,51.7%,1.4,+0.5
Illinois,49-46-2,51.6%,1.8,-0.3
IL-Chicago,34-32-1,51.5%,-4.5,-0.8
Michigan,54-51-0,51.4%,6.9,-0.1
Washington,36-34-1,51.4%,2.1,+0.5
BYU,36-34-0,51.4%,8.0,-0.3
Binghamton,19-18-0,51.4%,-7.7,+1.4
N Alabama,19-18-1,51.4%,-7.2,+0.3
San Francisco,42-40-2,51.2%,4.4,+1.3
Bryant,22-21-1,51.2%,-2.0,+1.1
Grambling St,23-22-1,51.1%,-9.8,+0.6
Brown,25-24-0,51.0%,-1.8,+0.8
Troy,27-26-1,50.9%,-2.1,0.0
Drexel,27-26-2,50.9%,-0.3,+1.5
UL Monroe,29-28-0,50.9%,-2.3,-0.5
UAB,30-29-2,50.9%,4.2,0.0
Pepperdine,31-30-4,50.8%,-0.7,+1.0
Texas A&M,33-32-0,50.8%,5.1,-0.4
Tennessee,35-34-1,50.7%,10.6,+2.3
Detroit,39-38-0,50.7%,-6.4,-1.6
Iona,42-42-3,50.0%,5.8,+1.0
N Mex State,20-20-1,50.0%,3.1,+1.5
TX El Paso,17-17-0,50.0%,0.3,-1.0
Pittsburgh,39-39-1,50.0%,0.2,+0.6
Oakland,34-34-0,50.0%,-2.5,-1.2
Tulane,31-31-1,50.0%,-0.4,+0.8
Stetson,20-20-1,50.0%,-8.4,-0.5
Cal Baptist,27-27-1,50.0%,0.7,+1.1
Hampton,27-27-0,50.0%,-5.4,+1.2
Nicholls,17-17-0,50.0%,-7.5,+1.0
Towson,19-19-0,50.0%,-0.5,+0.1
Montana,27-27-0,50.0%,-1.5,-1.7
Notre Dame,50-50-1,50.0%,2.5,-1.5
U Mass,38-38-1,50.0%,-1.3,-0.9
Ball St,25-25-0,50.0%,1.3,+1.4
Oregon St,28-28-2,50.0%,-1.6,-0.4
E Illinois,24-24-0,50.0%,-5.3,+1.0
Stony Brook,24-24-3,50.0%,1.9,0.0
Rutgers,50-51-2,49.5%,-1.3,-0.8
NC State,44-45-3,49.4%,2.7,0.0
Denver,40-41-1,49.4%,-5.0,-1.4
Alabama,35-36-1,49.3%,3.0,+0.5
Dayton,33-34-2,49.3%,8.4,+0.6
W Virginia,31-32-0,49.2%,2.1,-0.9
LA Tech,28-29-0,49.1%,3.5,-0.7
Seattle,28-29-0,49.1%,-0.6,+1.2
James Mad,24-25-2,49.0%,2.7,-0.5
High Point,23-24-2,48.9%,0.1,-0.7
Xavier,44-46-2,48.9%,4.3,-0.2
Louisiana,22-23-2,48.9%,2.1,-0.7
Lamar,21-22-1,48.8%,-5.5,-0.1
Creighton,41-43-2,48.8%,6.2,+0.5
Bucknell,20-21-1,48.8%,-0.8,-0.9
Central Conn,19-20-0,48.7%,-12.7,-1.7
Chicago St,37-39-1,48.7%,-14.9,-0.9
Iowa,54-57-1,48.7%,5.0,-1.1
Memphis,53-56-1,48.6%,6.0,+0.9
St Bonavent,35-37-2,48.6%,1.8,-0.3
Arizona St,34-36-2,48.6%,1.9,+0.3
Rhode Island,34-36-0,48.6%,1.6,-0.7
St Johns,48-51-2,48.5%,-0.8,-0.4
NC-Asheville,16-17-0,48.5%,-2.7,-1.0
Butler,43-46-1,48.3%,1.2,-0.9
Georgetown,41-44-3,48.2%,-2.2,-0.4
Marquette,41-44-2,48.2%,3.0,-0.9
Saint Louis,40-43-0,48.2%,0.9,+0.3
Vermont,25-27-1,48.1%,3.9,-0.7
Texas St,24-26-2,48.0%,-2.3,-0.7
Wyoming,35-38-2,48.0%,-1.1,-0.5
La Salle,44-48-1,47.8%,-3.2,-0.1
Niagara,32-35-2,47.8%,-4.4,-0.5
Texas,31-34-1,47.7%,7.9,+0.7
Oral Roberts,41-45-2,47.7%,-1.2,+1.0
Drake,30-33-0,47.6%,1.6,0.0
Illinois St,30-33-1,47.6%,1.1,-0.3
Grd Canyon,19-21-0,47.5%,4.7,+0.6
Kennesaw St,19-21-1,47.5%,-9.6,-1.0
Wisconsin,55-61-3,47.4%,5.6,+0.4
Alcorn St,18-20-1,47.4%,-11.7,-0.8
Bellarmine,9-10-1,47.4%,-8.8,+1.4
Harvard,27-30-1,47.4%,-0.5,-0.8
Miami,45-50-2,47.4%,2.3,-0.9
Murray St,26-29-1,47.3%,4.1,+0.1
Richmond,43-48-3,47.3%,1.7,-0.4
Davidson,34-38-0,47.2%,3.6,+0.5
UNLV,42-47-1,47.2%,-1.6,-1.2
Cincinnati,42-47-1,47.2%,7.8,0.0
W Michigan,25-28-1,47.2%,-7.1,-1.3
Delaware St,25-28-0,47.2%,-13.3,-1.9
California,33-37-0,47.1%,-3.9,-0.9
Indiana,49-55-1,47.1%,1.3,-1.7
Ohio,23-26-0,46.9%,-2.1,-2.5
Manhattan,37-42-2,46.8%,-5.0,-1.4
Colorado,37-42-2,46.8%,5.7,+2.5
Buffalo,22-25-2,46.8%,-0.5,-0.8
Siena,36-41-0,46.8%,-2.6,-1.6
S Mississippi,20-23-0,46.5%,-10.5,-2.6
Sac State,20-23-1,46.5%,-7.4,-1.1
N Illinois,26-30-0,46.4%,-5.9,-1.5
Minnesota,52-60-2,46.4%,0.7,0.0
W Illinois,32-37-3,46.4%,-4.1,+0.8
Bowling Grn,24-28-0,46.2%,1.2,0.0
Rice,28-33-2,45.9%,-1.5,+0.5
St. Thomas,11-13-0,45.8%,-4.0,-1.3
Marshall,27-32-2,45.8%,-2.2,-1.7
Princeton,21-25-0,45.7%,3.4,-0.1
Ark Pine Bl,21-25-0,45.7%,-16.9,-1.6
Marist,35-42-1,45.5%,-4.3,-0.7
Morgan St,25-30-0,45.5%,-7.3,-3.0
Fresno St,35-42-1,45.5%,-2.1,-0.9
Cleveland St,34-41-1,45.3%,-3.1,-0.4
Wofford,24-29-0,45.3%,-0.2,0.0
Stanford,38-46-3,45.2%,0.9,-0.3
Louisville,38-46-3,45.2%,3.7,-0.1
Monmouth,38-46-1,45.2%,-2.4,-1.7
Syracuse,37-45-2,45.1%,3.0,0.0
USC,32-39-0,45.1%,4.3,-0.7
Missouri,32-39-4,45.1%,3.4,0.0
New Orleans,18-22-0,45.0%,-9.0,-1.7
Geo Mason,40-49-0,44.9%,-1.2,-1.3
N Carolina,39-48-1,44.8%,6.7,-0.9
Air Force,34-42-1,44.7%,-2.4,-0.9
Old Dominion,20-25-1,44.4%,2.7,-0.7
San Jose St,32-40-1,44.4%,-9.6,-0.9
Austin Peay,20-25-2,44.4%,-6.8,-1.6
IU Indy,32-40-0,44.4%,-8.9,-1.2
CS Fullerton,24-30-2,44.4%,-2.2,-0.1
Rider,36-45-0,44.4%,-0.8,-0.6
SE Missouri,24-30-3,44.4%,-8.1,-1.1
Charlotte,20-25-0,44.4%,-0.2,+0.7
Central Mich,24-30-2,44.4%,-5.6,-1.2
Georgia,33-42-1,44.0%,-0.1,-1.7
E Carolina,36-46-1,43.9%,-3.9,-1.7
TN Martin,25-32-0,43.9%,-4.5,-1.9
Duquesne,32-41-0,43.8%,-1.0,-1.2
Wake Forest,41-53-0,43.6%,-1.5,-2.0
GA Southern,20-26-1,43.5%,-4.2,-1.2
Howard,20-26-0,43.5%,-7.4,0.0
Loyola-MD,20-26-0,43.5%,-6.2,-0.7
Wagner,13-17-0,43.3%,-2.9,-1.6
Portland,26-34-0,43.3%,-4.2,-1.7
Central Ark,22-29-1,43.1%,-9.9,-1.9
Fla Gulf Cst,15-20-0,42.9%,-3.3,-2.0
Charl South,18-24-1,42.9%,-10.3,-1.2
E Michigan,24-32-0,42.9%,-4.5,-0.6
Neb Omaha,33-44-0,42.9%,-8.7,-1.1
S Methodist,41-55-2,42.7%,6.0,-0.9
San Diego,26-35-1,42.6%,-2.4,-0.4
Mercer,23-31-0,42.6%,-0.5,-1.5
Albany,20-27-0,42.6%,-0.1,-1.5
Ste F Austin,17-23-1,42.5%,6.5,-0.4
Navy,14-19-0,42.4%,-3.3,-1.9
Hsn Christian,14-19-0,42.4%,-10.9,-2.1
Geo Wshgtn,39-53-1,42.4%,-1.5,-0.8
Florida St,44-60-0,42.3%,4.3,-1.4
Boston Col,41-56-1,42.3%,-4.0,-1.1
Jackson St,21-29-0,42.0%,-9.4,-2.5
App State,26-36-0,41.9%,-2.4,-1.9
Florida Intl,17-24-1,41.5%,-2.1,-1.7
McNeese St,17-24-1,41.5%,-8.5,-1.4
North Dakota,25-36-0,41.0%,-7.3,-0.5
UCF,34-49-0,41.0%,-0.5,-0.8
Wm & Mary,18-26-1,40.9%,-5.9,-3.5
TN State,18-26-1,40.9%,-6.3,-3.0
N Hampshire,17-25-0,40.5%,-4.6,-2.0
Maryland,35-52-2,40.2%,2.2,-2.3
Sacred Hrt,19-29-0,39.6%,-5.6,-2.3
U Penn,15-23-1,39.5%,-1.2,-1.6
Columbia,20-31-0,39.2%,-4.0,-2.6
Radford,18-28-3,39.1%,-1.4,-0.2
Tarleton St,7-11-0,38.9%,-14.0,-4.0
UCSB,17-27-3,38.6%,-0.7,-2.0
UTSA,16-26-1,38.1%,-8.1,-1.7
TN Tech,17-28-3,37.8%,-8.0,-2.2
Alab A&M,15-25-1,37.5%,-15.9,-4.2
LSU,28-47-1,37.3%,2.7,-1.6
Presbyterian,15-27-0,35.7%,-11.1,-1.8
F Dickinson,16-30-0,34.8%,-10.0,-3.6
Pacific,19-37-1,33.9%,-6.9,-3.3
Stonehill,5-11-0,31.3%,-16.8,-0.7
Queens,5-12-0,29.4%,-11.1,-3.8
Lindenwood,2-9-1,18.2%,-18.4,-3.7
