Rank,Hotness Score,Matchup,Time,Location
1,83.6,#65 UC Irvine  at  #142 Belmont,7:30 PM,Curb Event Center
2,81.0,#108 Lipscomb  at  #135 Middle Tenn,7:30 PM,Murphy Center
3,73.9,#214 Merrimack  at  #49 St Marys,10:00 PM,University Credit Union Pavilion
4,55.1,#324 Buffalo  at  #38 Georgia,7:00 PM,Stegeman Coliseum
5,51.2,#349 New Orleans  at  #27 Texas,8:00 PM,Moody Center
6,49.7,#224 Oakland  at  #242 Cleveland St,7:00 PM,Wolstein Center
7,49.0,#200 Norfolk St  vs.  #266 Alabama St,5:00 PM,Mohegan Sun Arena
8,45.6,#293 Charl South  at  #186 N Alabama,7:00 PM,CB&S Bank Arena at Flowers Hall
9,44.9,#245 SIU Edward  at  #249 AR Lit Rock,8:00 PM,Jack Stephens Center
10,42.6,#361 Chicago St  at  #99 Grd Canyon,9:00 PM,Global Credit Union Arena at GCU
11,40.0,#302 Lg Beach St  at  #217 Pepperdine,9:00 PM,Firestone Fieldhouse
12,39.3,#213 South Dakota  at  #310 Utah Tech,9:00 PM,Burns Arena
13,35.0,#339 Bellarmine  at  #196 Wyoming,8:30 PM,Arena-Auditorium
14,32.7,#304 TN State  at  #255 S Indiana,8:30 PM,"Liberty Arena, Home of the Screaming Eagles"
15,26.9,#296 TN Martin  at  #301 Morehead St,7:30 PM,Ellis T. Johnson Arena
16,25.5,#330 Delaware St  vs.  #274 Grambling St,7:30 PM,Mohegan Sun Arena
17,23.3,#332 E Illinois  at  #282 SE Missouri,8:30 PM,Show Me Center
18,16.3,#336 TN Tech  at  #318 Lindenwood,8:30 PM,Robert F. Hyland Arena
19,--,Northern New Mexico  at  #201 N Mex State,9:00 PM,Pan American Center
19,--,Franciscan University  at  #329 St Fran (PA),7:00 PM,DeGol Arena
19,--,SW Adventist  at  #240 UTSA,1:00 PM,Convocation Center
19,--,Chadron St.  at  #125 S Dakota St,8:00 PM,First Bank & Trust Arena
19,--,Virginia-Lynchburg  at  #165 NC-Asheville,6:30 PM,Kimmel Arena
19,--,Schreiner  at  #270 Incar Word,6:00 PM,Alice P. McDermott Convocation Center
19,--,North Texas-Dallas  at  #183 Rice,12:15 PM,Tudor Fieldhouse
19,--,Milligan  at  #321 W Carolina,11:00 AM,Ramsey Center
