,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,89.5,8:00 PM,Ball Arena,7,Dallas,8,Denver,DAL Mavericks,DEN Nuggets,4-5-1,44.4%,4.0,-0.8,1-1-1,50.0%,-2.7,-1.8,3-5-0,37.5%,4.5,-2.2,4-5-1,44.4%,2.9,-1.1,3-3-1,50.0%,3.6,-0.6,2-0-0,100.0%,-0.5,4.8
1,2,82.5,7:00 PM,Paycom Center,5,Golden State,1,Okla City,GS Warriors,OKC Thunder,8-2-0,80.0%,11.9,10.6,6-1-0,85.7%,13.4,13.0,4-1-0,80.0%,19.4,12.0,7-3-0,70.0%,12.8,4.7,3-2-0,60.0%,12.0,2.1,1-0-0,100.0%,15.0,17.0
2,3,80.9,8:00 PM,Footprint Center,12,Sacramento,10,Phoenix,SAC Kings,PHO Suns,5-4-1,55.6%,4.5,-0.4,4-2-0,66.7%,4.7,1.5,3-2-1,60.0%,6.8,-2.0,3-7-0,30.0%,2.1,-1.2,1-5-0,16.7%,3.0,-1.6,2-1-0,66.7%,2.0,4.5
3,4,80.4,5:00 PM,Gainbridge Fieldhouse,4,New York,17,Indiana,NY Knicks,IND Pacers,4-5-0,44.4%,3.2,0.1,2-4-0,33.3%,-2.0,-4.4,4-4-0,50.0%,6.5,2.2,6-4-0,60.0%,-2.6,-3.2,3-1-0,75.0%,4.3,3.4,4-1-0,80.0%,-1.6,3.3
4,5,74.9,7:00 PM,Target Center,18,Miami,6,Minnesota,MIA Heat,MIN Timberwolves,4-5-0,44.4%,-0.9,-1.9,4-1-0,80.0%,2.6,2.6,2-3-0,40.0%,3.2,-2.2,4-6-0,40.0%,5.4,-1.4,2-4-0,33.3%,8.8,0.1,,,,
5,6,73.8,3:30 PM,Fiserv Forum,2,Boston,14,Milwaukee,BOS Celtics,MIL Bucks,6-5-0,54.6%,10.5,1.0,4-3-0,57.1%,12.0,2.1,6-5-0,54.6%,10.5,1.0,3-7-0,30.0%,-5.1,-6.3,1-3-0,25.0%,1.3,-2.9,1-3-0,25.0%,-10.3,-3.1
6,7,66.8,3:00 PM,Little Caesars Arena,9,Houston,24,Detroit,HOU Rockets,DET Pistons,5-5-0,50.0%,3.9,2.4,2-3-0,40.0%,-1.8,-0.6,3-4-0,42.9%,5.7,1.3,6-5-0,54.6%,-2.5,2.8,3-3-0,50.0%,-5.2,0.4,6-3-0,66.7%,-3.1,3.7
7,8,64.7,7:00 PM,Wells Fargo Center,22,Charlotte,19,Philadelphia,CHA Hornets,PHI 76ers,6-4-0,60.0%,-3.0,2.8,3-1-0,75.0%,-5.8,1.6,0-1-0,0.0%,5.0,-1.5,2-7-0,22.2%,-7.6,-6.1,0-4-0,0.0%,-10.0,-11.5,2-3-0,40.0%,-7.0,-1.3
8,9,63.9,9:00 PM,Moda Center,11,Memphis,28,Portland,MEM Grizzlies,POR Trail Blazers,6-5-0,54.6%,9.4,7.0,2-3-0,40.0%,8.4,7.8,4-4-0,50.0%,10.4,5.8,5-5-1,50.0%,-11.1,-3.5,2-3-0,40.0%,-16.8,-10.3,5-5-1,50.0%,-11.1,-3.5
9,10,62.6,9:30 PM,Crypto.com Arena,23,Toronto,16,La Lakers,TOR Raptors,,8-2-0,80.0%,-6.2,2.7,4-1-0,80.0%,-7.0,3.0,,,,,5-4-0,55.6%,-2.6,-3.9,4-0-0,100.0%,7.0,4.8,2-2-0,50.0%,-9.5,-6.1
10,11,49.1,6:00 PM,Kia Center,30,Washington,13,Orlando,WAS Wizards,ORL Magic,2-6-0,25.0%,-13.5,-4.1,1-2-0,33.3%,-16.3,-7.5,,,,,4-7-0,36.4%,1.7,1.0,3-1-0,75.0%,18.3,9.0,1-5-0,16.7%,-8.5,-2.8
