,Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team Covers_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Implied Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Implied Odds_current_season,Home Team Underdog_current_season,Away Team all_games_Sample Size_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_Sample Size_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team all_games_Sample Size_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_Sample Size_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Implied Odds_current_season,Underdog is_dog Sample Size_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Implied Odds_current_season,Favorite is_fav Sample Size_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Away Team Covers_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Home Team Spread_all_time,Away Team all_games_Sample Size_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_Sample Size_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team all_games_Sample Size_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_Sample Size_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Sample Size_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Sample Size_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Away Team Covers_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Home Team Spread_last_10_seasons,Away Team all_games_Sample Size_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_Sample Size_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team all_games_Sample Size_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_Sample Size_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Sample Size_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Sample Size_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons,Away Team_current_season_map,Home Team_current_season_map,Favorite is_fav Team_current_season_map,Underdog is_dog Team_current_season_map,Away Team,Home Team,Home Cover
0,1,95.7,11:00 AM,Imperial Arena,14,Marquette,53,Georgia,Marquette,Georgia,-4.5,0.5349,False,4.5,0.5349,True,0,0.8,17.8,4.6,0,1.0,4.0,6.5,5,0.6,20.4,3.1,4,0.5,23.5,+2.4,Georgia,4.5,0.5349,0,0.0,0.0,0.0,Marquette,-4.5,0.5349,0,0.75,21.3,4.1,Marquette,Georgia,-4.5,4.5,0,0.526,5.5,0.4,0,0.576,-1.8,0.8,793,0.503,0.3,0.1,390,0.485,5.7,0.0,4.5,453,0.505,-7.0,0.5,-4.5,0,0.508,9.5,0.2,Marquette,Georgia,-4.5,4.5,0,0.517,4.7,0.4,0,0.561,-1.6,1.0,325,0.5,-0.4,-0.5,173,0.462,4.8,-0.7,4.5,180,0.531,-7.3,-0.1,-4.5,0,0.52,10.6,0.5,160.0,102.0,160.0,102.0,,,
1,3,87.1,10:00 PM,Leavey Center,67,Stanford,108,Santa Clara,Stanford,Santa Clara,-1.0,0.5238,False,1.0,0.5238,True,0,0.8,19.4,2.3,0,0.0,0.0,0.0,5,0.4,1.6,-3.3,2,0.5,17.0,+4.8,Santa Clara,1.0,0.5238,0,0.0,-26.0,-18.5,Stanford,-1.0,0.5238,0,0.8,19.4,2.3,Stanford,Santa Clara,-1.0,1.0,0,0.522,5.2,0.3,0,0.51,-0.7,0.2,772,0.509,0.4,-0.3,379,0.477,4.7,-1.1,1.0,413,0.523,-8.0,0.0,-1.0,0,0.54,10.1,0.5,Stanford,Santa Clara,-1.0,1.0,0,0.492,1.5,-0.3,0,0.421,-5.7,-1.8,301,0.515,0.3,0.1,152,0.463,4.2,-1.2,1.0,159,0.543,-8.3,0.2,-1.0,0,0.527,8.5,-0.2,286.0,269.0,286.0,269.0,Stanford,Santa Clara,False
2,6,80.4,12:00 PM,Mackey Arena,180,Marshall,22,Purdue,Marshall,Purdue,20.5,0.5192,True,-20.5,0.5283,False,0,0.667,14.5,2.2,0,0.0,0.0,0.0,5,0.4,7.6,-2.5,4,0.5,14.0,0.0,Marshall,20.5,0.5192,0,0.0,-10.0,-9.0,Purdue,-20.5,0.5283,0,0.333,15.7,-4.3,Marshall,Purdue,20.5,-20.5,0,0.468,1.4,-0.6,0,0.446,-6.0,-1.6,857,0.5,6.8,0.4,391,0.535,13.9,1.7,20.5,361,0.437,-8.6,-1.2,-20.5,0,0.515,11.0,0.6,Marshall,Purdue,20.5,-20.5,0,0.498,1.8,-0.3,0,0.467,-5.0,-1.6,342,0.523,10.0,1.0,155,0.56,17.4,2.7,20.5,131,0.419,-9.1,-1.8,-20.5,0,0.524,12.3,1.0,161.0,240.0,240.0,161.0,Marshall,Purdue,True
3,9,70.5,6:00 PM,Joseph J. Gentile Arena,212,Tulsa,94,Loyola-Chi,Tulsa,Loyola-Chicago,10.5,0.5238,True,-10.5,0.5238,False,0,0.25,5.4,-8.6,0,0.0,-5.0,-8.5,4,0.25,18.0,-5.1,3,0.0,21.3,-9.2,Tulsa,10.5,0.5238,0,0.0,0.0,0.0,Loyola-Chi,-10.5,0.5238,0,0.0,11.0,-9.2,Tulsa,Loyola-Chicago,10.5,-10.5,0,0.514,3.3,0.1,0,0.49,-3.7,-0.4,762,0.499,1.3,0.0,342,0.495,6.9,-0.1,10.5,338,0.489,-6.6,0.2,-10.5,0,0.506,7.3,-0.3,Tulsa,Loyola-Chicago,10.5,-10.5,0,0.469,0.3,-0.6,0,0.402,-7.1,-2.3,323,0.514,5.7,0.4,147,0.483,11.5,0.2,10.5,159,0.436,-7.7,-0.8,-10.5,0,0.5,9.1,0.1,306.0,154.0,154.0,306.0,Tulsa,Loyola-Chicago,True
4,11,64.1,8:00 PM,University Credit Union Pavilion,275,Cal Poly,52,St Marys,Cal Poly SLO,Saint Mary'S,20.5,0.5192,True,-20.5,0.5283,False,0,0.8,1.8,7.8,0,0.75,-6.5,7.6,4,0.25,16.2,-1.3,3,0.333,19.5,-1.3,Cal Poly,20.5,0.5192,0,0.8,-4.4,7.8,St Marys,-20.5,0.5283,0,0.25,10.3,-1.3,Cal Poly SLO,Saint Mary'S,20.5,-20.5,0,0.467,-3.4,-0.7,0,0.48,-8.9,-0.5,794,0.513,6.7,0.3,385,0.508,12.4,0.4,20.5,493,0.48,-8.7,-0.1,-20.5,0,0.545,11.5,0.8,Cal Poly SLO,Saint Mary'S,20.5,-20.5,0,0.44,-5.9,-1.5,0,0.482,-10.6,-0.7,323,0.538,10.1,1.1,166,0.549,15.3,1.6,20.5,228,0.471,-9.7,-0.6,-20.5,0,0.558,12.9,1.4,37.0,283.0,283.0,37.0,Cal Poly SLO,Saint Mary'S,False
5,12,61.9,1:00 PM,Costello Athletic Center,233,Quinnipiac,142,Mass Lowell,Quinnipiac,Massachusetts Lowell,5.5,0.5192,True,-5.5,0.5283,False,0,0.25,-2.2,-3.8,0,0.333,-12.7,-4.2,3,0.333,10.8,-9.5,1,0.0,39.3,-3.5,Quinnipiac,5.5,0.5192,0,0.0,-24.5,-10.5,Mass Lowell,-5.5,0.5283,0,0.0,7.0,-3.5,Quinnipiac,Massachusetts Lowell,5.5,-5.5,0,0.475,-0.4,-0.3,0,0.514,-3.9,-0.2,209,0.5,0.4,0.1,86,0.434,7.0,-0.7,5.5,173,0.509,-5.6,0.8,-5.5,0,0.5,6.5,-0.6,Quinnipiac,Massachusetts Lowell,5.5,-5.5,0,0.479,-0.6,-0.1,0,0.516,-4.0,0.0,206,0.503,1.2,0.2,86,0.434,7.7,-0.7,5.5,153,0.51,-5.5,0.9,-5.5,0,0.495,6.4,-0.7,242.0,165.0,165.0,242.0,Quinnipiac,Massachusetts Lowell,True
6,13,61.5,7:00 PM,Wolstein Center,139,Kent St,239,Cleveland St,Kent St.,Cleveland St.,-2.0,0.5238,False,2.0,0.5238,True,0,0.5,7.3,-2.8,0,1.0,-9.5,1.0,5,0.8,-3.0,-0.3,1,1.0,23.0,+1.0,Cleveland St,2.0,0.5238,0,0.75,-16.0,-0.6,Kent St,-2.0,0.5238,0,0.5,3.5,-4.3,Kent St.,Cleveland St.,-2.0,2.0,0,0.526,5.1,0.5,0,0.543,-0.8,0.6,762,0.484,-0.5,-0.4,336,0.486,5.6,-0.3,2.0,445,0.479,-8.5,-0.4,-2.0,0,0.518,7.4,0.1,Kent St.,Cleveland St.,-2.0,2.0,0,0.51,4.2,0.1,0,0.5,-2.1,-0.1,312,0.503,-1.2,0.0,134,0.496,5.4,0.1,2.0,188,0.527,-8.3,0.2,-2.0,0,0.5,5.9,-0.9,137.0,52.0,137.0,52.0,Kent St.,Cleveland St.,False
7,14,61.0,2:30 PM,Mohegan Sun Arena,92,Yale,270,Fairfield,Yale,Fairfield,-11.0,0.5192,False,11.0,0.5283,True,0,0.8,13.2,4.2,0,0.75,-0.3,0.8,4,0.5,-0.2,-6.4,1,0.0,21.5,-7.0,Fairfield,11.0,0.5283,0,0.5,-25.0,-11.5,Yale,-11.0,0.5192,0,0.667,12.0,4.3,Yale,Fairfield,-11.0,11.0,0,0.556,2.3,1.1,0,0.577,-2.7,1.8,703,0.488,-0.7,-0.5,291,0.458,2.8,-1.5,11.0,371,0.497,-6.7,0.2,-11.0,0,0.564,7.8,0.9,Yale,Fairfield,-11.0,11.0,0,0.571,7.3,1.4,0,0.569,1.4,1.4,305,0.488,-1.5,-0.5,126,0.452,2.0,-1.1,11.0,173,0.512,-6.5,-0.1,-11.0,0,0.616,10.1,2.3,360.0,86.0,360.0,86.0,,,
8,15,59.5,12:00 PM,Mohegan Sun Arena,237,Delaware,163,Vermont,Delaware,Vermont,7.0,0.5238,True,-7.0,0.5238,False,0,0.5,-0.8,-0.8,0,1.0,6.0,12.5,5,0.2,-10.4,-11.6,1,0.0,11.0,-6.0,Delaware,7.0,0.5238,0,1.0,2.5,7.5,Vermont,-7.0,0.5238,0,0.0,-2.0,-11.5,Delaware,Vermont,7.0,-7.0,0,0.489,-0.7,-0.6,0,0.497,-4.5,-0.5,295,0.528,6.1,0.8,113,0.573,11.9,1.8,7.0,389,0.517,-7.8,-0.1,-7.0,0,0.56,11.7,1.2,Delaware,Vermont,7.0,-7.0,0,0.484,-1.6,-0.8,0,0.476,-5.5,-0.9,230,0.522,9.0,0.3,100,0.546,15.5,1.3,7.0,167,0.506,-7.9,-0.5,-7.0,0,0.546,11.8,0.9,68.0,336.0,336.0,68.0,Delaware,Vermont,False
9,16,56.8,1:00 PM,UW-Milwaukee Panther Arena,185,St. Thomas,234,Portland St,St. Thomas (MN),Portland St.,-3.0,0.5238,False,3.0,0.5238,True,0,0.5,9.2,1.4,0,0.667,-3.3,3.8,3,0.667,7.8,0.5,0,0.0,47.0,--,Portland St,3.0,0.5238,0,0.5,-12.5,-2.8,St. Thomas,-3.0,0.5238,0,1.0,14.0,10.5,St. Thomas (MN),Portland St.,-3.0,3.0,0,0.567,4.2,1.6,0,0.522,-4.9,0.0,641,0.494,1.1,0.0,256,0.49,9.1,-0.4,3.0,367,0.516,-7.1,0.7,-3.0,0,0.622,7.0,1.5,St. Thomas (MN),Portland St.,-3.0,3.0,0,0.567,4.2,1.6,0,0.522,-4.9,0.0,278,0.5,2.3,-0.2,110,0.439,10.2,-1.2,3.0,159,0.556,-5.5,1.2,-3.0,0,0.622,7.0,1.5,285.0,235.0,285.0,235.0,,,
