Rank,Hotness Score,Matchup,Time,Location
1,94.5,#1 Gonzaga  at  #69 San Diego St,10:00 PM,Viejas Arena
2,88.2,#76 North Texas  at  #95 McNeese St,7:00 PM,Legacy Center
3,82.6,#169 N Alabama  at  #3 Auburn,9:00 PM,Neville Arena
4,81.4,#152 N Colorado  at  #81 Wash State,9:30 PM,Friel Court at Beasley Coliseum
5,76.2,#193 Colgate  at  #63 NC State,7:00 PM,Lenovo Center
6,75.6,#214 Miami (OH)  at  #26 Michigan,6:00 PM,Crisler Center
7,74.4,#217 TX-Pan Am  at  #33 Wisconsin,8:00 PM,Kohl Center
8,72.1,#233 Montana  at  #29 Utah St,9:00 PM,Dee Glen Smith Spectrum
9,63.6,#279 Pacific  at  #36 Arkansas,8:00 PM,Bud Walton Arena
10,63.2,#199 N Dakota St  at  #177 S Illinois,8:00 PM,Banterra Center
11,62.8,#143 Bryant  at  #231 Delaware,6:30 PM,Bob Carpenter Center
12,59.4,#235 NC-Asheville  at  #153 N Florida,7:00 PM,UNF Arena
13,59.3,#283 Monmouth  at  #80 Wichita St,7:30 PM,Charles Koch Arena
14,57.7,#288 American  at  #96 High Point,7:00 PM,Nido and Mariana Qubein Arena
15,55.7,#326 VMI  at  #21 Pittsburgh,7:00 PM,Petersen Events Center
16,52.5,#344 IU Indy  at  #14 Iowa St,8:00 PM,James H. Hilton Coliseum
17,49.4,#347 Prairie View  at  #59 S Methodist,8:00 PM,Moody Coliseum
18,48.7,#363 Ark Pine Bl  at  #13 Texas Tech,8:00 PM,United Supermarkets Arena
19,41.6,#249 Howard  at  #265 Florida Intl,7:00 PM,Ocean Bank Convocation Center (FIU)
20,40.1,#359 NJIT  at  #124 Geo Wshgtn,7:00 PM,Charles E. Smith Center
21,38.1,#240 Idaho St  at  #291 CS Fullerton,10:00 PM,Titan Gym
22,30.0,#273 SE Louisiana  at  #307 UL Monroe,7:30 PM,Fant-Ewing Coliseum
23,--,Spring Hill  at  #200 S Alabama,8:00 PM,Mitchell Center
23,--,Auburn-Montgomery  at  #85 UAB,7:30 PM,Bartow Arena
23,--,Mount Marty  at  #175 S Dakota St,8:00 PM,First Bank & Trust Arena
23,--,Calvary University  at  #196 Kansas City,8:00 PM,Swinney Recreation Center
23,--,Gallaudet University  at  #358 Maryland ES,7:00 PM,Hytche Athletic Center
23,--,Southern Virginia  at  #236 Radford,7:00 PM,Carilion Clinic Court at the Dedmon Center
23,--,Toccoa Falls  at  #223 Georgia St,7:00 PM,Georgia State Convocation Center
23,--,Virginia-Lynchburg  at  #266 Alabama St,7:00 PM,Dunn-Oliver Acadome
23,--,Mississippi College  at  #106 LA Tech,7:30 PM,Thomas Assembly Center
