Rank,Hotness Score,Matchup,Time,Location
1,98.5,#19 Pittsburgh  at  #12 Ohio St,2:30 PM,Value City Arena
2,97.1,#40 Mississippi  vs.  #17 Purdue,6:00 PM,LionTree Arena
3,96.1,#56 W Virginia  vs.  #16 Arizona,3:00 PM,Imperial Arena
4,95.7,#34 Louisville  vs.  #44 Oklahoma,5:30 PM,Imperial Arena
5,95.4,#57 NC State  vs.  #35 BYU,3:30 PM,LionTree Arena
6,94.2,#65 Butler  vs.  #22 Miss State,9:30 PM,Mullett Arena
7,93.9,#67 Arizona St  vs.  #42 St Marys,9:30 PM,Acrisure Arena
8,93.1,#75 Wichita St  vs.  #23 Florida,3:30 PM,Wide World of Sports Complex
9,92.0,#38 Utah St  vs.  #87 North Texas,6:30 PM,Wide World of Sports Complex
10,91.3,#48 Indiana  vs.  #89 Providence,11:00 AM,Imperial Arena
11,89.4,#4 Gonzaga  vs.  #119 Davidson,8:30 PM,Imperial Arena
12,89.3,#101 USC  vs.  #52 New Mexico,11:59 PM,Acrisure Arena
13,89.0,#59 Northwestern  vs.  #107 UNLV,7:00 PM,Mullett Arena
14,88.2,#134 N Colorado  at  #24 Texas Tech,8:00 PM,United Supermarkets Arena
15,88.0,#70 TX Christian  vs.  #106 Colorado St,2:00 PM,Acrisure Arena
16,86.9,#90 Santa Clara  vs.  #100 Washington,4:30 PM,Acrisure Arena
16,86.9,#98 Minnesota  vs.  #92 Wake Forest,1:00 PM,Wide World of Sports Complex
18,86.3,#142 Seattle  at  #2 Duke,7:00 PM,Cameron Indoor Stadium
18,86.3,#115 Kent St  vs.  #64 UC Irvine,9:30 PM,ENMAX Centre
20,84.6,#82 Geo Mason  at  #124 James Mad,4:00 PM,Atlantic Union Bank Center
21,81.1,#105 St Bonavent  vs.  #131 N Iowa,9:00 PM,Wide World of Sports Complex
22,73.7,#226 Georgia St  at  #8 Kentucky,7:00 PM,Rupp Arena at Central Bank Center
23,73.6,#130 Sam Hous St  at  #168 NC-Wilmgton,4:00 PM,Trask Coliseum
24,71.1,#102 Arkansas St  vs.  #202 Indiana St,4:30 PM,Baha Mar Convention Center
25,70.8,#153 Hofstra  vs.  #169 Rice,7:00 PM,Baha Mar Convention Center
26,70.5,#178 Gard-Webb  at  #147 Belmont,5:00 PM,Curb Event Center
27,69.8,#189 Kennesaw St  vs.  #138 Towson,7:30 PM,ENMAX Centre
28,69.3,#227 Valparaiso  at  #81 DePaul,1:30 PM,Wintrust Arena
29,66.8,#257 NW State  at  #47 LSU,8:00 PM,Pete Maravich Assembly Center
30,64.5,#148 Elon  vs.  #211 Maine,2:00 PM,The Palestra
31,62.0,#200 Colgate  vs.  #184 App State,12:00 PM,Trask Coliseum
32,60.4,#253 Merrimack  at  #123 Troy,2:00 PM,Trojan Arena
33,54.7,#182 N Florida  at  #250 SIU Edward,7:00 PM,First Community Arena at the Vadalabene Center
34,54.0,#310 TN Tech  at  #88 Vanderbilt,3:00 PM,Memorial Gymnasium
35,53.5,#336 Delaware St  at  #27 Texas,9:00 PM,Moody Center
36,53.4,#188 Weber St  vs.  #247 Bowling Grn,1:00 PM,Mullett Arena
37,53.0,#276 NC A&T  at  #156 E Carolina,5:30 PM,Williams Arena at Minges Coliseum
38,50.8,#316 Holy Cross  at  #112 Virginia,4:00 PM,John Paul Jones Arena
39,50.0,#179 N Mex State  vs.  #274 Pepperdine,3:30 PM,Mullett Arena
40,49.3,#355 Florida A&M  at  #33 Clemson,7:00 PM,Littlejohn Coliseum
41,45.9,#334 VMI  at  #126 Geo Wshgtn,2:00 PM,Charles E. Smith Center
42,44.5,#345 Dartmouth  at  #111 Boston Col,12:00 PM,Conte Forum
43,42.8,#352 W Georgia  at  #117 Samford,4:00 PM,Pete Hanna Center
44,42.1,#198 Ste F Austin  at  #307 UL Monroe,7:30 PM,Fant-Ewing Coliseum
45,39.7,#364 Miss Val St  at  #121 UCSB,10:00 PM,The Thunderdome
46,32.1,#303 Morehead St  at  #261 Cleveland St,3:00 PM,Wolstein Center
47,30.4,#359 Alcorn St  at  #199 S Alabama,11:00 AM,Mitchell Center
48,28.0,#304 LIU  at  #285 Lafayette,4:30 PM,Kirby Sports Center
49,25.1,#309 Navy  at  #297 U Penn,4:30 PM,The Palestra
50,23.3,#291 Iona  vs.  #324 Tarleton St,2:00 PM,Baha Mar Convention Center
51,19.3,#305 Niagara  vs.  #332 Binghamton,2:00 PM,Kirby Sports Center
52,17.8,#326 Le Moyne  at  #320 Manhattan,7:00 PM,Draddy Gymnasium
53,13.4,#330 N Illinois  at  #339 E Illinois,3:00 PM,Groniger Arena
54,--,Judson University  at  #85 Bradley,2:00 PM,Carver Arena
54,--,Central Pennsylvania College  at  #80 Liberty,4:00 PM,Liberty Arena
54,--,Elizabeth City St.  at  #49 VCU,7:00 PM,Stuart C. Siegel Center
