Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Indiana,Providence,Indiana,-4.5,138.,162,False
Alcorn St.,South Alabama,Alcorn St.,17.0,132.,139,False
Dartmouth,Boston College,Dartmouth,16.5,141.,171,False
Appalachian St.,Colgate,Appalachian St.,-1.0,134.,122,False
Minnesota,Wake Forest,Wake Forest,-3.0,127.5.,108,True
Valparaiso,DePaul,DePaul,-15.5,150.5.,159,True
Texas Christian,Colorado St.,Colorado St.,5.0,140.,148,True
Merrimack,Troy,Merrimack,10.5,133.5.,140,False
Iona,Tarleton State,Iona,-6.0,132.5.,113,False
VMI,George Washington,VMI,20.5,152.5.,141,False
Elon University,Maine,Maine,4.5,137.,125,True
Binghamton,Niagara,Niagara,-1.5,135.,127,True
Pittsburgh,Ohio St.,Pittsburgh,5.5,146.5.,181,False
Northern Illinois,Eastern Illinois,Eastern Illinois,-3.0,137.,131,True
Arizona,West Virginia,West Virginia,7.0,151.5.,159,True
Morehead St.,Cleveland St.,Morehead St.,6.5,128.,140,False
Tennessee Tech,Vanderbilt,Vanderbilt,-23.5,156.,143,True
NC State,Brigham Young,Brigham Young,-5.5,154.,133,True
Wichita St.,Florida,Florida,-10.0,155.5.,139,True
Pepperdine,New Mexico St.,Pepperdine,5.5,138.,152,False
Holy Cross,Virginia,Virginia,-15.5,127.,108,True
West Georgia,Samford,Samford,-19.5,157.5.,151,True
George Mason,James Madison,George Mason,-2.0,140.5.,127,False
Sam Houston St.,UNC Wilmington,UNC Wilmington,1.5,151.,129,True
Navy,Pennsylvania,Navy,3.5,141.5.,164,False
Santa Clara,Washington,Washington,2.0,148.,145,True
LIU,Lafayette,Lafayette,-3.0,141.,131,True
Arkansas St.,Indiana St.,Indiana St.,9.0,157.,167,True
Gardner-Webb,Belmont,Belmont,-8.0,153.,157,True
Oklahoma,Louisville,Oklahoma,3.0,149.5.,133,False
North Carolina A&T,East Carolina,East Carolina,-13.0,151.,162,True
Purdue,Mississippi,Mississippi,3.0,145.,158,True
Utah St.,North Texas,North Texas,4.5,135.,118,True
Northwestern,UNLV,Northwestern,-3.5,135.5.,127,False
Georgia St.,Kentucky,Georgia St.,31.0,162.,181,False
Le Moyne,Manhattan,Le Moyne,6.0,147.,158,False
North Florida,SIU Edwardsville,North Florida,-2.5,149.5.,151,False
Florida A&M,Clemson,Florida A&M,32.5,142.,144,False
Hofstra,Rice,Hofstra,2.0,134.,131,False
Seattle,Duke,Seattle,27.0,141.,118,False
Stephen F. Austin,UL Monroe,Stephen F. Austin,-4.0,130.,128,False
Towson,Kennesaw St.,Kennesaw St.,3.0,144.5.,130,True
Northern Colorado,Texas Tech,Texas Tech,-22.0,151.5.,153,True
Northwestern St.,Louisiana State,Louisiana State,-19.0,143.,130,True
Gonzaga,Davidson,Gonzaga,-19.0,154.5.,155,False
St. Bonaventure,Northern Iowa,St. Bonaventure,-2.5,138.5.,124,False
Delaware State,Texas,Delaware State,34.5,141.,158,False
Saint Mary'S,Arizona State,Arizona State,6.0,139.5.,132,True
Butler,Mississippi State,Butler,8.5,145.5.,164,False
UC Irvine,Kent St.,UC Irvine,-6.0,136.,90,False
Mississippi Valley State,UC Santa Barbara,UC Santa Barbara,-31.0,134.5.,129,True
