Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Atlanta,Milwaukee,Milwaukee,-3.5,233.,212,[]
Houston,Oklahoma City,Oklahoma City,-5.5,215.,207,[]
