Rank,Hotness Score,Matchup,Time,Location
1,90.5,#61 San Francisco  vs.  #85 Loyola-Chi,6:30 PM,Fiserv Forum
2,88.0,#110 GA Tech  vs.  #56 Northwestern,4:00 PM,Fiserv Forum
3,82.7,#112 Arkansas St  at  #113 UAB,6:00 PM,Bartow Arena
4,81.6,#142 Montana St  at  #90 USC,8:00 PM,Galen Center
5,76.5,#129 Akron  vs.  #150 WI-Milwkee,1:30 PM,Fiserv Forum
6,75.9,#143 Temple  at  #137 Hofstra,12:00 PM,David S. Mack Sports Complex
7,74.9,#213 Ste F Austin  at  #29 Oregon,6:00 PM,Matthew Knight Arena
8,71.5,#154 Saint Louis  at  #163 Illinois St,5:00 PM,CEFCU Arena - Home of the Redbirds
9,69.2,#232 Presbyterian  at  #82 Miami,2:00 PM,Watsco Center
10,68.5,#225 Central Conn  at  #98 Rhode Island,1:00 PM,Thomas M. Ryan Center
11,61.6,#297 Neb Omaha  at  #6 Iowa St,1:00 PM,James H. Hilton Coliseum
12,59.0,#96 UCSD  at  #283 Idaho,7:00 PM,Idaho Central Credit Union Arena
13,57.1,#184 Norfolk St  at  #230 N Kentucky,1:00 PM,Truist Arena
14,55.9,#192 Vermont  at  #233 Colgate,2:00 PM,Cotterell Court
15,53.0,#302 Navy  at  #114 VA Tech,12:00 PM,Cassell Coliseum
16,51.9,#203 IL-Chicago  at  #244 AR Lit Rock,2:00 PM,Jack Stephens Center
17,51.8,#272 W Michigan  at  #168 N Dakota St,2:00 PM,Scheels Center
18,50.8,#344 New Orleans  at  #46 Iowa,2:00 PM,Carver-Hawkeye Arena
19,50.0,#138 IPFW  at  #308 E Michigan,2:00 PM,George Gervin GameAbove Center
20,47.8,#363 Ark Pine Bl  at  #33 Texas,3:00 PM,Moody Center
21,45.8,#324 Stonehill  at  #145 Boston Col,4:00 PM,Conte Forum
22,42.4,#149 Northeastrn  at  #338 Old Dominion,1:00 PM,Chartway Arena at the Ted Constant Convocation Cen
23,41.8,#356 Mercyhurst  at  #119 Kent St,5:00 PM,Memorial Athletic and Convocation Center
24,35.5,#251 UTSA  at  #298 North Dakota,3:00 PM,Betty Engelstad Sioux Center
25,32.4,#211 S Alabama  at  #347 TX A&M-Com,12:00 PM,The Field House
26,30.0,#355 Alab A&M  at  #208 Chattanooga,2:00 PM,McKenzie Arena
27,29.3,#361 Chicago St  at  #204 Mercer,2:00 PM,Hawkins Arena
28,25.7,#245 Campbell  at  #351 Morgan St,2:00 PM,Talmadge L. Hill Field House
29,18.3,#335 Denver  at  #307 CS Fullerton,5:00 PM,Titan Gym
30,--,Our Lady of the Lake  at  #265 Incar Word,4:00 PM,Alice P. McDermott Convocation Center
30,--,Saint Mary-Of-The-Woods  at  #290 SE Missouri,3:00 PM,Show Me Center
30,--,Bethany (WV)  at  #194 Miami (OH),1:00 PM,Millett Hall
30,--,Champion Baptist  at  #316 TN Martin,4:30 PM,Kathleen and Tom Elam Center
30,--,St. Francis (IL)  at  #177 UC Riverside,5:00 PM,SRC Arena
30,--,Lancaster Bible College  at  #310 Binghamton,2:00 PM,Events Center
30,--,Kentucky Christian  at  #295 Morehead St,12:30 PM,Ellis T. Johnson Arena
30,--,Shawnee State  at  #260 S Indiana,2:00 PM,"Liberty Arena, Home of the Screaming Eagles"
30,--,Eureka  at  #246 SIU Edward,2:00 PM,First Community Arena at the Vadalabene Center
30,--,La Sierra University  at  #235 CS Bakersfld,8:00 PM,Icardo Center
30,--,Crown College  at  #144 St. Thomas,3:00 PM,Schoenecker Arena
