Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Texas A&M-CC,Hawaii,Hawaii,-5,142.5.,133,[]
Temple,Hofstra,Temple,+4.5,141.5.,102,[]
Navy,Virginia Tech,Navy,+13.5,140.5.,152,[]
Norfolk State,Northern Kentucky,Northern Kentucky,-4,137.,133,[]
Northeastern,Old Dominion,Old Dominion,+7,142.5.,146,[]
Nebraska Omaha,Iowa State,Nebraska Omaha,+35,148.5.,134,[]
Central Conn. St.,Rhode Island,Central Conn. St.,+9.5,142.5.,146,[]
Akron,Milwaukee,Milwaukee,-1.5,155.5.,181,[]
Presbyterian,Miami-Florida,Presbyterian,+19.5,143.,169,[]
Alabama A&M,Chattanooga,Chattanooga,-17.5,151.,148,[]
Western Michigan,North Dakota State,North Dakota State,-8.5,145.,160,[]
Vermont,Colgate,Colgate,+1.5,128.,125,[]
New Orleans,Iowa,Iowa,-31.5,163.5.,161,[]
Chicago St.,Mercer,Chicago St.,+15.5,151.,138,[]
Illinois-Chicago,Little Rock,Illinois-Chicago,+3,146.5.,146,[]
Campbell,Morgan St.,Morgan St.,+6,150.,162,[]
Purdue Fort Wayne,Eastern Michigan,Purdue Fort Wayne,-5.5,147.,175,[]
Arkansas-Pine Bluff,Texas,Texas,-38.5,160.,178,[]
Texas-San Antonio,North Dakota,Texas-San Antonio,-2,154.5.,180,[]
Northwestern,Georgia Tech,Northwestern,-6.5,138.5.,131,[]
Stonehill,Boston College,Stonehill,+14,135.,142,[]
Saint Louis,Illinois St.,Illinois St.,+2,148.5.,158,[]
Mercyhurst,Kent St.,Kent St.,-17.5,127.5.,139,[]
Denver,CSU Fullerton,CSU Fullerton,-3.5,137.,133,[]
Stephen F. Austin,Oregon,Stephen F. Austin,+21.5,135.5.,140,[]
Arkansas St.,UAB,Arkansas St.,+3.5,159.5.,187,[]
San Francisco,Loyola-Chicago,San Francisco,-4,137.,142,[]
UC San Diego,Idaho,UC San Diego,-7.5,141.,136,[]
Montana St.,Southern California,Southern California,-9,143.,152,[]
