Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Mercyhurst,3-0-1,100.0%,-1.2,6.6,3-0-0,100.0%,-0.7,8.8,1-0-0,100.0%,-17.0,2.0,1-0-0,100.0%,5.0,12.5,1-0-1,100.0%,7.3,6.0,2-0-1,100.0%,-10.8,4.8,3-0-1,100.0%,-4.0,6.6,,,,,1-0-0,100.0%,18.0,12.0,,,,,1-0-0,100.0%,5.0,12.5,0-0-0,0.0%,26.0,--,0-0-1,0.0%,-15.5,0.0,1-0-1,100.0%,7.3,6.0
NC Central,113-81-4,58.3%,5.7,1.0,63-48-2,56.8%,2.0,0.9,43-31-0,58.1%,5.1,2.5,48-28-3,63.2%,6.7,2.3,60-49-1,55.1%,6.7,0.3,54-43-2,55.7%,-5.4,0.1,52-39-2,57.1%,-9.6,0.3,61-41-2,59.8%,8.8,1.8,36-25-1,59.0%,19.8,1.8,10-7-0,58.8%,1.1,-0.8,33-27-0,55.0%,5.1,-0.8,23-14-0,62.2%,18.1,+2.0,27-19-2,58.7%,-2.5,0.5,27-16-4,62.8%,8.3,1.8
St. Thomas,51-37-2,58.0%,4.5,1.8,38-19-2,66.7%,2.8,4.0,16-20-0,44.4%,3.0,-0.5,21-17-2,55.3%,5.5,2.3,28-19-0,59.6%,3.9,1.3,24-21-2,53.3%,-4.7,0.1,23-20-2,53.5%,-5.9,2.0,28-17-0,62.2%,7.0,1.5,19-14-0,57.6%,14.7,2.9,7-1-0,87.5%,2.8,7.5,15-10-2,60.0%,2.6,1.1,3-7-0,30.0%,18.8,-3.6,10-11-0,47.6%,-4.1,-1.9,13-6-0,68.4%,9.9,4.5
Sam Hous St,117-87-5,57.4%,6.3,1.5,59-46-2,56.2%,2.8,1.3,42-26-2,61.8%,7.7,2.5,40-28-1,58.8%,6.0,1.3,75-57-4,56.8%,6.1,1.6,61-44-3,58.1%,-2.3,1.2,50-46-2,52.1%,-7.8,0.3,66-40-3,62.3%,9.9,2.6,41-26-1,61.2%,16.2,2.3,5-10-0,33.3%,-3.1,-1.1,20-11-1,64.5%,5.7,2.4,22-20-0,52.4%,16.1,+0.2,36-21-3,63.2%,1.6,2.6,50-40-2,55.6%,6.6,0.8
Yale,132-100-8,56.9%,7.2,1.4,90-70-6,56.3%,4.9,0.8,66-40-4,62.3%,9.0,2.7,33-30-1,52.4%,8.4,1.3,94-68-7,58.0%,6.0,1.1,69-53-5,56.6%,1.2,1.3,35-37-3,48.6%,-7.6,-0.2,97-61-5,61.4%,10.0,2.3,43-38-3,53.1%,15.7,0.8,30-25-1,54.6%,6.2,0.5,11-7-1,61.1%,11.3,1.3,18-15-1,54.6%,16.6,+2.4,24-15-1,61.5%,4.6,3.0,25-28-2,47.2%,3.7,-0.4
Furman,161-123-5,56.7%,7.4,1.3,111-72-0,60.7%,5.5,1.7,40-30-0,57.1%,8.8,0.5,51-42-2,54.8%,6.7,1.1,109-80-3,57.7%,6.8,1.6,73-62-3,54.1%,1.1,1.2,45-39-2,53.6%,-6.8,0.6,114-83-3,57.9%,10.5,1.6,73-44-2,62.4%,14.7,2.0,6-9-0,40.0%,0.7,-1.1,26-23-1,53.1%,5.5,0.7,29-30-1,49.2%,13.8,-0.1,21-21-4,50.0%,2.2,1.6,89-61-4,59.3%,7.9,2.1
E Washingtn,171-131-3,56.6%,4.5,1.6,106-88-3,54.6%,3.3,1.1,74-60-1,55.2%,4.3,1.5,62-44-1,58.5%,3.2,3.4,106-82-2,56.4%,5.3,0.8,96-69-2,58.2%,-2.6,1.6,75-56-1,57.3%,-6.8,1.5,93-75-2,55.4%,8.3,1.4,58-48-1,54.7%,13.8,2.0,10-6-0,62.5%,4.3,1.5,57-44-1,56.4%,4.9,1.7,35-26-0,57.4%,10.8,+2.1,30-17-0,63.8%,-1.3,2.9,30-21-1,58.8%,4.3,1.6
Nevada,181-139-6,56.6%,5.4,1.2,95-72-4,56.9%,3.8,0.4,48-34-2,58.5%,6.8,1.6,54-48-1,52.9%,2.7,0.4,119-88-5,57.5%,6.5,1.5,64-56-3,53.3%,-0.7,0.4,51-49-1,51.0%,-6.4,0.2,129-90-5,58.9%,9.9,1.7,88-56-3,61.1%,11.1,2.2,12-8-0,60.0%,2.3,0.8,16-10-1,61.5%,7.0,2.9,44-38-2,53.7%,6.8,+1.0,42-29-0,59.2%,7.7,3.5,105-87-3,54.7%,4.9,0.9
Le Moyne,18-14-1,56.3%,-0.3,3.5,8-12-0,40.0%,-5.7,0.4,9-4-0,69.2%,2.5,4.0,9-6-1,60.0%,5.2,6.0,8-7-0,53.3%,-2.3,1.2,11-10-1,52.4%,-10.7,2.4,12-11-1,52.2%,-10.3,1.6,6-3-0,66.7%,13.1,8.4,7-4-0,63.6%,15.5,5.7,,,,,3-6-1,33.3%,0.5,1.7,4-1-0,80.0%,22.0,+9.1,6-1-1,85.7%,-10.9,7.8,6-4-0,60.0%,-1.7,4.7
Houston,181-141-7,56.2%,12.4,2.5,82-58-2,58.6%,11.6,3.4,52-39-3,57.1%,15.1,2.4,36-31-0,53.7%,10.2,2.7,138-109-7,55.9%,12.0,2.1,52-55-1,48.6%,4.4,1.1,31-25-0,55.4%,-2.9,3.2,149-115-7,56.4%,14.7,2.3,89-59-6,60.1%,18.6,3.8,14-10-0,58.3%,6.8,0.7,15-14-1,51.7%,8.3,1.6,42-43-2,49.4%,13.1,+0.5,57-40-3,58.8%,12.7,2.9,100-78-3,56.2%,12.3,2.9
N Florida,123-98-2,55.7%,0.5,1.3,72-62-2,53.7%,-0.8,1.2,40-30-0,57.1%,0.1,1.4,54-46-0,54.0%,0.2,1.6,65-48-2,57.5%,1.5,1.2,66-58-1,53.2%,-8.2,0.2,75-55-2,57.7%,-9.4,1.9,45-42-0,51.7%,7.3,0.1,55-32-1,63.2%,11.7,3.6,4-9-0,30.8%,-3.9,-1.5,30-24-0,55.6%,-0.9,0.2,22-14-0,61.1%,8.0,+1.9,29-22-0,56.9%,-3.8,1.5,49-35-2,58.3%,2.4,2.5
S Alabama,163-130-4,55.6%,0.9,0.6,107-85-2,55.7%,-1.9,0.0,65-48-3,57.5%,1.7,1.4,79-57-2,58.1%,1.0,1.7,81-70-2,53.6%,0.2,-0.6,74-59-4,55.6%,-6.3,-0.4,99-69-2,58.9%,-5.1,1.8,61-61-2,50.0%,4.0,-1.1,74-59-0,55.6%,7.0,1.6,11-12-0,47.8%,0.0,-1.8,47-41-1,53.4%,0.6,0.6,26-23-2,53.1%,9.3,+2.5,30-22-0,57.7%,-1.1,1.0,40-29-0,58.0%,0.2,0.0
Villanova,194-155-5,55.6%,10.0,0.5,85-80-4,51.5%,10.2,0.4,54-42-1,56.3%,12.0,0.4,40-35-1,53.3%,7.5,-0.9,150-114-4,56.8%,10.1,1.0,61-53-3,53.5%,4.0,-0.7,23-21-2,52.3%,-4.1,-0.2,170-133-3,56.1%,12.2,0.7,78-63-1,55.3%,14.6,0.5,13-12-1,52.0%,6.3,0.3,15-10-0,60.0%,7.5,-0.2,50-40-1,55.6%,10.2,-0.2,59-35-0,62.8%,9.4,1.5,112-91-3,55.2%,9.8,0.7
Baylor,173-139-7,55.5%,9.1,0.9,96-70-3,57.8%,7.6,1.5,50-42-1,54.4%,11.2,0.0,47-34-3,58.0%,6.5,1.2,122-101-4,54.7%,9.3,0.9,60-41-3,59.4%,0.4,0.6,45-39-1,53.6%,-3.0,1.1,128-100-6,56.1%,12.1,0.8,79-72-2,52.3%,15.6,1.4,8-6-0,57.1%,9.6,-0.1,27-18-1,60.0%,10.0,2.0,38-42-2,47.5%,10.1,-1.1,39-27-2,59.1%,11.8,1.8,88-73-5,54.7%,7.6,1.2
Colgate,122-98-3,55.5%,4.8,1.3,69-46-3,60.0%,5.0,2.5,30-29-3,50.9%,2.9,0.6,35-24-1,59.3%,3.6,1.4,85-70-1,54.8%,5.5,1.2,63-52-2,54.8%,-0.4,1.0,31-24-2,56.4%,-7.0,1.9,87-73-1,54.4%,10.0,1.0,54-39-1,58.1%,11.4,2.3,7-3-0,70.0%,9.7,2.9,13-10-0,56.5%,10.5,6.0,28-29-0,49.1%,7.2,+0.1,25-23-0,52.1%,1.1,-0.1,72-56-0,56.3%,4.3,0.7
St Peters,168-135-2,55.5%,0.5,1.0,71-66-2,51.8%,0.9,1.2,66-44-0,60.0%,-0.9,0.8,75-61-2,55.2%,0.6,1.0,87-70-0,55.4%,0.8,1.1,84-65-1,56.4%,-3.5,1.1,91-56-1,61.9%,-4.7,2.5,75-76-1,49.7%,4.9,-0.2,63-61-1,50.8%,4.6,0.2,9-10-1,47.4%,0.9,-1.5,46-31-1,59.7%,2.4,2.5,54-38-0,58.7%,1.3,+1.0,43-31-0,58.1%,-1.3,0.9,47-50-0,48.5%,0.6,0.7
S Dakota St,167-136-4,55.1%,7.1,1.2,87-81-2,51.8%,5.8,1.1,62-52-1,54.4%,6.4,0.1,46-36-0,56.1%,6.2,2.0,114-96-4,54.3%,7.7,1.1,70-58-1,54.7%,-0.7,0.0,49-36-2,57.7%,-5.3,1.6,117-98-2,54.4%,10.0,1.2,68-45-1,60.2%,16.2,3.2,16-15-2,51.6%,4.9,1.4,34-24-1,58.6%,9.2,2.1,40-29-0,58.0%,11.8,+0.9,40-26-2,60.6%,4.2,2.0,55-45-0,55.0%,7.1,1.9
Penn St,173-141-7,55.1%,2.3,1.1,76-50-2,60.3%,3.6,2.0,40-35-2,53.3%,5.1,1.2,77-64-1,54.6%,0.9,1.4,91-74-6,55.2%,2.3,0.6,56-51-3,52.3%,-4.9,0.7,98-64-2,60.5%,-4.4,2.1,74-75-5,49.7%,8.6,0.1,80-70-1,53.3%,7.7,1.0,12-7-1,63.2%,-3.0,0.4,12-11-0,52.2%,7.4,2.0,51-52-2,49.5%,1.8,-0.1,46-39-3,54.1%,1.0,1.2,109-88-4,55.3%,1.0,1.0
