Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Atlanta,14-5-0,73.7%,26.3%,4.3,7-1-0,87.5%,12.5%,9.6,1-0-0,100.0%,0.0%,12.5,9-2-0,81.8%,18.2%,6.8,4-3-0,57.1%,42.9%,-0.9,7-3-0,70.0%,30.0%,3.6,6-3-0,66.7%,33.3%,-0.4,8-2-0,80.0%,20.0%,8.5,7-2-0,77.8%,22.2%,5.0,1-3-0,25.0%,75.0%,-8.3,9-2-0,81.8%,18.2%,7.0,4-0-0,100.0%,0.0%,6.4,3-4-0,42.9%,57.1%,-3.0,3-0-0,100.0%,0.0%,8.0
Memphis,13-6-0,68.4%,31.6%,4.6,8-3-0,72.7%,27.3%,6.1,1-0-0,100.0%,0.0%,20.5,4-3-0,57.1%,42.9%,-1.9,8-3-0,72.7%,27.3%,7.2,6-2-0,75.0%,25.0%,9.1,5-1-0,83.3%,16.7%,5.4,8-5-0,61.5%,38.5%,4.2,7-4-0,63.6%,36.4%,1.3,2-1-0,66.7%,33.3%,2.0,8-5-0,61.5%,38.5%,1.0,1-2-0,33.3%,66.7%,4.7,4-1-0,80.0%,20.0%,1.0,2-0-0,100.0%,0.0%,23.3
Cleveland,13-6-0,68.4%,31.6%,8.2,8-3-0,72.7%,27.3%,10.1,1-0-0,100.0%,0.0%,17.0,1-0-0,100.0%,0.0%,10.5,11-6-0,64.7%,35.3%,7.6,5-3-0,62.5%,37.5%,7.1,1-2-0,33.3%,66.7%,-3.0,12-4-0,75.0%,25.0%,10.3,8-3-0,72.7%,27.3%,9.1,2-2-0,50.0%,50.0%,3.9,9-3-0,75.0%,25.0%,9.3,3-1-0,75.0%,25.0%,7.6,2-2-0,50.0%,50.0%,3.8,1-1-0,50.0%,50.0%,6.5
Indiana,13-6-0,68.4%,31.6%,0.7,9-3-0,75.0%,25.0%,1.1,0-1-0,0.0%,100.0%,-12.0,9-1-0,90.0%,10.0%,9.9,4-4-0,50.0%,50.0%,-9.1,6-4-0,60.0%,40.0%,-3.2,6-2-0,75.0%,25.0%,7.8,7-4-0,63.6%,36.4%,-4.4,7-2-0,77.8%,22.2%,5.0,2-1-0,66.7%,33.3%,6.0,10-3-0,76.9%,23.1%,1.8,1-1-0,50.0%,50.0%,-8.0,3-2-0,60.0%,40.0%,3.3,1-1-0,50.0%,50.0%,-8.0
Denver,11-6-0,64.7%,35.3%,7.7,9-2-0,81.8%,18.2%,8.7,0-2-0,0.0%,100.0%,-31.0,3-4-0,42.9%,57.1%,-0.5,8-1-0,88.9%,11.1%,19.4,4-4-0,50.0%,50.0%,6.0,3-2-0,60.0%,40.0%,0.9,8-4-0,66.7%,33.3%,10.6,7-2-0,77.8%,22.2%,9.3,2-1-0,66.7%,33.3%,22.7,7-3-0,70.0%,30.0%,9.6,0-2-0,0.0%,100.0%,-13.5,2-2-0,50.0%,50.0%,15.8,2-0-0,100.0%,0.0%,15.0
New York,11-7-0,61.1%,38.9%,7.9,10-2-0,83.3%,16.7%,14.6,1-0-0,100.0%,0.0%,19.5,4-3-0,57.1%,42.9%,7.8,6-4-0,60.0%,40.0%,6.9,8-3-0,72.7%,27.3%,11.0,2-0-0,100.0%,0.0%,24.3,9-7-0,56.3%,43.8%,5.9,3-4-0,42.9%,57.1%,3.0,2-0-0,100.0%,0.0%,11.0,8-3-0,72.7%,27.3%,12.3,0-5-0,0.0%,100.0%,-9.6,1-0-0,100.0%,0.0%,15.0,0-4-0,0.0%,100.0%,-8.6
Phoenix,11-7-0,61.1%,38.9%,1.9,6-3-0,66.7%,33.3%,2.2,1-1-0,50.0%,50.0%,-1.5,3-4-0,42.9%,57.1%,-2.3,7-3-0,70.0%,30.0%,4.5,6-2-0,75.0%,25.0%,1.8,4-4-0,50.0%,50.0%,-0.3,7-3-0,70.0%,30.0%,3.6,5-5-0,50.0%,50.0%,1.9,2-2-0,50.0%,50.0%,2.6,7-4-0,63.6%,36.4%,0.2,1-2-0,33.3%,66.7%,-4.0,4-2-0,66.7%,33.3%,4.3,1-0-0,100.0%,0.0%,24.0
Chicago,12-8-0,60.0%,40.0%,7.1,7-5-0,58.3%,41.7%,3.9,1-0-0,100.0%,0.0%,9.0,7-4-0,63.6%,36.4%,9.9,4-4-0,50.0%,50.0%,3.1,7-5-0,58.3%,41.7%,6.8,11-7-0,61.1%,38.9%,6.6,1-1-0,50.0%,50.0%,11.5,5-3-0,62.5%,37.5%,7.6,3-2-0,60.0%,40.0%,12.0,7-5-0,58.3%,41.7%,4.2,2-2-0,50.0%,50.0%,8.8,3-1-0,75.0%,25.0%,15.1,1-1-0,50.0%,50.0%,11.5
Dallas,11-8-0,57.9%,42.1%,-0.4,5-3-0,62.5%,37.5%,1.4,1-0-0,100.0%,0.0%,2.5,3-5-0,37.5%,62.5%,-8.9,7-3-0,70.0%,30.0%,6.1,7-2-0,77.8%,22.2%,7.5,8-0-0,100.0%,0.0%,11.8,3-8-0,27.3%,72.7%,-9.3,4-6-0,40.0%,60.0%,-7.6,4-0-0,100.0%,0.0%,15.8,5-7-0,41.7%,58.3%,-5.0,0-3-0,0.0%,100.0%,-22.3,6-2-0,75.0%,25.0%,5.9,1-1-0,50.0%,50.0%,-6.5
Minnesota,10-8-0,55.6%,44.4%,2.4,5-4-0,55.6%,44.4%,1.2,0-1-0,0.0%,100.0%,-11.0,5-4-0,55.6%,44.4%,3.5,5-3-0,62.5%,37.5%,2.8,5-4-0,55.6%,44.4%,3.6,0-1-0,0.0%,100.0%,-10.0,10-7-0,58.8%,41.2%,3.1,5-4-0,55.6%,44.4%,1.1,2-2-0,50.0%,50.0%,-1.6,5-3-0,62.5%,37.5%,3.1,2-3-0,40.0%,60.0%,2.7,3-1-0,75.0%,25.0%,4.6,3-2-0,60.0%,40.0%,7.1
