Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Washington,Cleveland,Cleveland,-16.0,234.5.,205,True
Philadelphia,Charlotte,Philadelphia,-4.5,210.5.,214,False
Milwaukee,Detroit,Milwaukee,-3.0,221.5.,235,False
Indiana,Toronto,Toronto,3.0,236.5.,233,True
Orlando,New York,New York,-5.0,215.,227,True
Utah,Oklahoma City,Oklahoma City,-13.5,224.,239,True
Memphis,Dallas,Dallas,-4.5,244.5.,237,True
San Antonio,Phoenix,Phoenix,-7.0,228.5.,197,True
Golden State,Denver,Golden State,5.0,237.,234,False
Houston,Sacramento,Sacramento,-1.5,230.,231,True
Portland,L.A. Clippers,L.A. Clippers,-8.5,220.5.,232,True
