Rank,Hotness Score,Matchup,Time,Location
1,92.4,#9 Orlando  at  #6 New York,7:30 PM,Madison Square Garden
2,91.3,#7 Memphis  at  #4 Dallas,8:30 PM,American Airlines Center
3,90.7,#8 Golden State  at  #10 Denver,10:00 PM,Ball Arena
4,79.5,#17 San Antonio  at  #14 Phoenix,9:00 PM,Footprint Center
5,78.7,#5 Houston  at  #16 Sacramento,10:00 PM,Golden 1 Center
6,71.9,#13 Milwaukee  at  #24 Detroit,7:00 PM,Little Caesars Arena
7,66.5,#19 Indiana  at  #22 Toronto,7:30 PM,Scotiabank Arena
8,59.6,#20 Philadelphia  at  #25 Charlotte,7:00 PM,Spectrum Center
9,55.5,#27 Portland  at  #12 LA Clippers,10:30 PM,Intuit Dome
10,43.2,#29 Utah  at  #1 Okla City,8:00 PM,Paycom Center
11,35.6,#30 Washington  at  #3 Cleveland,7:00 PM,Rocket Mortgage FieldHouse
