,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
0,1,86.7,6:00 PM,FedExForum,11,Denver,6,Memphis,DEN Nuggets,MEM Grizzlies,4-6-1,40.0%,2.0,-1.8,1-3-0,25.0%,-0.8,-3.9,2-6-1,25.0%,2.6,-3.3,8-5-0,61.5%,7.2,6.2,4-2-0,66.7%,10.2,6.3,4-1-0,80.0%,2.0,7.0
1,2,85.2,3:30 PM,Target Center,13,Phoenix,10,Minnesota,PHO Suns,MIN Timberwolves,4-9-0,30.8%,-0.8,-2.5,3-4-0,42.9%,-4.0,-3.3,2-6-0,25.0%,2.9,-2.8,5-8-0,38.5%,2.8,-4.0,2-4-0,33.3%,8.8,0.1,,,,
2,3,78.2,5:00 PM,Gainbridge Fieldhouse,16,Miami,17,Indiana,MIA Heat,IND Pacers,5-6-0,45.5%,0.3,-0.3,5-2-0,71.4%,3.4,3.9,2-4-0,33.3%,2.3,-2.4,6-6-0,50.0%,-3.6,-4.4,3-2-0,60.0%,0.8,-0.8,4-2-0,66.7%,-2.0,2.3
3,4,75.3,7:00 PM,Paycom Center,8,Dallas,1,Okla City,DAL Mavericks,OKC Thunder,5-7-1,41.7%,4.0,-1.1,1-3-1,25.0%,-2.6,-3.1,4-6-0,40.0%,5.1,-2.4,9-4-0,69.2%,12.9,4.5,5-3-0,62.5%,12.5,2.8,1-0-0,100.0%,15.0,17.0
4,5,68.7,7:00 PM,Madison Square Garden,26,Brooklyn,5,New York,BKN Nets,NY Knicks,10-3-0,76.9%,-2.8,3.9,6-1-0,85.7%,-2.1,6.9,2-1-0,66.7%,-1.3,-3.2,5-7-0,41.7%,3.5,-0.6,2-3-0,40.0%,8.4,2.2,0-1-0,0.0%,-23.0,-17.0
5,6,64.9,7:00 PM,United Center,7,Houston,25,Chicago,HOU Rockets,CHI Bulls,8-5-0,61.5%,6.4,3.5,2-3-0,40.0%,-1.8,-0.6,6-4-0,60.0%,8.4,3.1,6-7-0,46.2%,-6.0,0.0,2-3-0,40.0%,-9.4,-4.2,6-6-0,50.0%,-5.8,1.3
6,7,54.3,6:00 PM,Moda Center,22,Atlanta,28,Portland,ATL Hawks,POR Trail Blazers,5-8-0,38.5%,-3.7,-2.7,3-2-0,60.0%,-4.4,0.0,2-5-0,28.6%,1.3,-4.1,7-5-1,58.3%,-7.7,0.2,4-3-0,57.1%,-8.9,-1.5,7-5-1,58.3%,-7.7,0.2
7,8,51.3,6:00 PM,Rocket Mortgage FieldHouse,24,Charlotte,3,Cleveland,CHA Hornets,CLE Cavaliers,7-5-0,58.3%,-4.5,1.4,3-2-0,60.0%,-9.6,-1.9,0-1-0,0.0%,5.0,-1.5,10-4-0,71.4%,12.1,5.5,5-2-0,71.4%,13.0,5.1,2-0-0,100.0%,3.5,6.0
8,9,45.6,6:00 PM,Capital One Arena,23,Detroit,30,Washington,DET Pistons,WAS Wizards,8-5-1,61.5%,-2.1,2.5,4-2-1,66.7%,0.0,4.2,1-2-0,33.3%,1.3,-0.5,3-8-0,27.3%,-13.1,-3.4,1-4-0,20.0%,-11.8,-2.0,3-8-0,27.3%,-13.1,-3.4
9,10,44.4,9:00 PM,Intuit Dome,29,Utah,18,La Clippers,UTA Jazz,,6-6-0,50.0%,-11.3,-4.3,4-2-0,66.7%,-8.5,0.4,,,,,7-6-0,53.9%,-1.0,1.7,3-4-0,42.9%,0.0,-0.7,5-4-0,55.6%,-3.9,2.1
