Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,86.7,6:00 PM,FedExForum,11,Denver,6,Memphis,DEN Nuggets,Denver,MEM Grizzlies,Memphis,+5.5,−112,True,-5.5,−108,False,Denver,4-6-1,40.0%,2.0,-1.8,1-3-0,25.0%,-0.8,-3.9,Memphis,8-5-0,61.5%,7.2,6.2,4-2-0,66.7%,10.2,6.3,Denver,+5.5,−112,2-0-0,100.0%,-0.5,4.8,Memphis,-5.5,−108,4-4-0,50.0%,10.4,5.8,1,86.7,6:00 PM,FedExForum,11,Denver,6,Memphis,DEN Nuggets,Denver,MEM Grizzlies,Memphis,+5.5,−112,True,-5.5,−108,False,Denver,929-878-35,51.4%,1.9,0.2,444-441-20,50.2%,-2.0,-0.3,Memphis,907-863-31,51.2%,-0.4,0.3,460-420-15,52.3%,2.4,0.2,Denver,+5.5,−112,380-349-16,52.1%,-4.4,0.8,Memphis,-5.5,−108,424-403-16,51.3%,5.0,-0.4,1,86.7,6:00 PM,FedExForum,11,Denver,6,Memphis,DEN Nuggets,Denver,MEM Grizzlies,Memphis,+5.5,−112,True,-5.5,−108,False,Denver,434-438-20,49.8%,1.6,-0.1,206-213-9,49.2%,-1.7,-0.7,Memphis,431-417-13,50.8%,-0.6,0.3,224-195-7,53.5%,2.1,0.7,Denver,+5.5,−112,179-164-8,52.2%,-4.4,1.1,Memphis,-5.5,−108,198-190-8,51.0%,5.1,-0.2
2,85.2,3:30 PM,Target Center,13,Phoenix,10,Minnesota,PHO Suns,Phoenix,MIN Timberwolves,Minnesota,+7.5,−115,True,-7.5,−105,False,Phoenix,4-9-0,30.8%,-0.8,-2.5,3-4-0,42.9%,-4.0,-3.3,Minnesota,5-8-0,38.5%,2.8,-4.0,2-4-0,33.3%,8.8,0.1,Phoenix,+7.5,−115,2-3-0,40.0%,-6.6,-2.0,Minnesota,-7.5,−105,5-8-0,38.5%,2.8,-4.0,2,85.2,3:30 PM,Target Center,13,Phoenix,10,Minnesota,PHO Suns,Phoenix,MIN Timberwolves,Minnesota,+7.5,−115,True,-7.5,−105,False,Phoenix,896-893-28,50.1%,0.5,-0.1,455-429-16,51.5%,-2.2,0.1,Minnesota,804-913-27,46.8%,-1.9,-0.4,380-481-10,44.1%,0.4,-1.0,Phoenix,+7.5,−115,397-414-13,49.0%,-5.9,0.3,Minnesota,-7.5,−105,317-385-11,45.2%,4.6,-0.9,2,85.2,3:30 PM,Target Center,13,Phoenix,10,Minnesota,PHO Suns,Phoenix,MIN Timberwolves,Minnesota,+7.5,−115,True,-7.5,−105,False,Phoenix,419-435-10,49.1%,-1.3,-0.6,207-211-7,49.5%,-3.7,-0.4,Minnesota,389-437-14,47.1%,-1.2,-0.1,184-227-7,44.8%,0.8,-0.7,Phoenix,+7.5,−115,214-230-5,48.2%,-7.2,-0.4,Minnesota,-7.5,−105,157-190-7,45.2%,5.1,-0.8
3,78.2,5:00 PM,Gainbridge Fieldhouse,16,Miami,17,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+3.5,−108,True,-3.5,−112,False,Miami,5-6-0,45.5%,0.3,-0.3,5-2-0,71.4%,3.4,3.9,Indiana,6-6-0,50.0%,-3.6,-4.4,3-2-0,60.0%,0.8,-0.8,Miami,+3.5,−108,3-2-0,60.0%,-2.2,2.2,Indiana,-3.5,−112,2-4-0,33.3%,-5.2,-11.0,3,78.2,5:00 PM,Gainbridge Fieldhouse,16,Miami,17,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+3.5,−108,True,-3.5,−112,False,Miami,976-927-43,51.3%,1.8,0.1,495-440-20,52.9%,-0.9,0.3,Indiana,914-877-42,51.0%,0.6,0.3,461-421-25,52.3%,4.0,0.8,Miami,+3.5,−108,376-349-17,51.9%,-4.6,1.0,Indiana,-3.5,−112,467-448-18,51.0%,5.4,-0.2,3,78.2,5:00 PM,Gainbridge Fieldhouse,16,Miami,17,Indiana,MIA Heat,Miami,IND Pacers,Indiana,+3.5,−108,True,-3.5,−112,False,Miami,454-429-23,51.4%,0.8,0.2,235-196-8,54.5%,-1.2,0.8,Indiana,433-408-18,51.5%,0.3,0.4,214-194-12,52.5%,3.2,0.9,Miami,+3.5,−108,212-184-6,53.5%,-3.7,1.6,Indiana,-3.5,−112,209-200-9,51.1%,5.1,-0.2
4,75.3,7:00 PM,Paycom Center,8,Dallas,1,Okla City,DAL Mavericks,Dallas,OKC Thunder,Oklahoma City,+7.5,−110,True,-7.5,−110,False,Dallas,5-7-1,41.7%,4.0,-1.1,1-3-1,25.0%,-2.6,-3.1,Okla City,9-4-0,69.2%,12.9,4.5,5-3-0,62.5%,12.5,2.8,Dallas,+7.5,−110,1-1-1,50.0%,0.3,3.2,Okla City,-7.5,−110,8-4-0,66.7%,12.8,3.5,4,75.3,7:00 PM,Paycom Center,8,Dallas,1,Okla City,DAL Mavericks,Dallas,OKC Thunder,Oklahoma City,+7.5,−110,True,-7.5,−110,False,Dallas,939-887-39,51.4%,2.1,0.1,497-416-14,54.4%,-0.6,0.4,Okla City,948-857-31,52.5%,1.0,0.3,470-428-14,52.3%,4.1,0.4,Dallas,+7.5,−110,383-318-10,54.6%,-3.8,1.3,Okla City,-7.5,−110,509-470-10,52.0%,6.6,0.1,4,75.3,7:00 PM,Paycom Center,8,Dallas,1,Okla City,DAL Mavericks,Dallas,OKC Thunder,Oklahoma City,+7.5,−110,True,-7.5,−110,False,Dallas,440-419-20,51.2%,0.6,0.4,229-195-8,54.0%,-1.6,0.8,Okla City,446-406-14,52.4%,1.1,0.4,221-197-8,52.9%,4.2,1.0,Dallas,+7.5,−110,219-204-9,51.8%,-4.3,1.2,Okla City,-7.5,−110,235-227-4,50.9%,6.9,0.3
5,68.7,7:00 PM,Madison Square Garden,26,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,10-3-0,76.9%,-2.8,3.9,6-1-0,85.7%,-2.1,6.9,New York,5-7-0,41.7%,3.5,-0.6,2-3-0,40.0%,8.4,2.2,Brooklyn,+9.5,−110,8-2-0,80.0%,-3.2,6.1,New York,-9.5,−110,5-6-0,45.5%,5.9,0.9,5,68.7,7:00 PM,Madison Square Garden,26,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,864-894-34,49.2%,-2.1,-0.4,446-428-15,51.0%,-4.2,0.2,New York,873-850-23,50.7%,-2.1,0.1,423-440-9,49.0%,0.0,-0.4,Brooklyn,+9.5,−110,522-533-20,49.5%,-6.2,0.2,New York,-9.5,−110,321-302-5,51.5%,4.4,-0.5,5,68.7,7:00 PM,Madison Square Garden,26,Brooklyn,5,New York,BKN Nets,Brooklyn,NY Knicks,New York,+9.5,−110,True,-9.5,−110,False,Brooklyn,415-419-15,49.8%,-2.0,0.0,220-192-5,53.4%,-3.5,0.6,New York,413-408-14,50.3%,-2.4,0.4,197-214-6,47.9%,-0.7,-0.1,Brooklyn,+9.5,−110,267-245-11,52.2%,-5.9,0.6,New York,-9.5,−110,148-124-3,54.4%,5.5,0.8
6,64.9,7:00 PM,United Center,7,Houston,25,Chicago,HOU Rockets,Houston,CHI Bulls,Chicago,-4.5,−112,False,+4.5,−108,True,Houston,8-5-0,61.5%,6.4,3.5,2-3-0,40.0%,-1.8,-0.6,Chicago,6-7-0,46.2%,-6.0,0.0,2-3-0,40.0%,-9.4,-4.2,Chicago,+4.5,−108,6-6-0,50.0%,-5.8,1.3,Houston,-4.5,−112,6-4-0,60.0%,8.4,3.1,6,64.9,7:00 PM,United Center,7,Houston,25,Chicago,HOU Rockets,Houston,CHI Bulls,Chicago,-4.5,−112,False,+4.5,−108,True,Houston,890-906-26,49.6%,1.3,0.2,450-439-8,50.6%,-1.4,0.4,Chicago,883-885-24,49.9%,-0.4,0.1,427-457-10,48.3%,1.6,-0.7,Chicago,+4.5,−108,477-470-12,50.4%,-5.0,0.6,Houston,-4.5,−112,506-518-15,49.4%,6.0,-0.4,6,64.9,7:00 PM,United Center,7,Houston,25,Chicago,HOU Rockets,Houston,CHI Bulls,Chicago,-4.5,−112,False,+4.5,−108,True,Houston,427-445-14,49.0%,0.3,-0.3,208-215-5,49.2%,-2.2,-0.4,Chicago,401-419-13,48.9%,-1.9,-0.4,196-214-5,47.8%,-0.6,-1.4,Chicago,+4.5,−108,241-257-9,48.4%,-5.8,-0.1,Houston,-4.5,−112,236-236-7,50.0%,6.3,-0.4
7,54.3,6:00 PM,Moda Center,22,Atlanta,28,Portland,ATL Hawks,Atlanta,POR Trail Blazers,Portland,-3.5,−112,False,+3.5,−108,True,Atlanta,5-8-0,38.5%,-3.7,-2.7,3-2-0,60.0%,-4.4,0.0,Portland,7-5-1,58.3%,-7.7,0.2,4-3-0,57.1%,-8.9,-1.5,Portland,+3.5,−108,7-5-1,58.3%,-7.7,0.2,Atlanta,-3.5,−112,2-5-0,28.6%,1.3,-4.1,7,54.3,6:00 PM,Moda Center,22,Atlanta,28,Portland,ATL Hawks,Atlanta,POR Trail Blazers,Portland,-3.5,−112,False,+3.5,−108,True,Atlanta,869-931-19,48.3%,-1.4,-0.4,423-475-11,47.1%,-4.4,-0.4,Portland,865-890-27,49.3%,-1.2,-0.3,433-436-13,49.8%,2.1,-0.1,Portland,+3.5,−108,451-489-15,48.0%,-6.7,-0.3,Atlanta,-3.5,−112,388-400-10,49.2%,4.4,-1.1,7,54.3,6:00 PM,Moda Center,22,Atlanta,28,Portland,ATL Hawks,Atlanta,POR Trail Blazers,Portland,-3.5,−112,False,+3.5,−108,True,Atlanta,419-446-8,48.4%,-0.9,-0.6,202-228-6,47.0%,-3.7,-0.7,Portland,417-432-18,49.1%,-1.4,-0.4,205-210-10,49.4%,1.6,-0.2,Portland,+3.5,−108,207-237-10,46.6%,-7.4,-0.8,Atlanta,-3.5,−112,201-212-5,48.7%,4.1,-1.4
8,51.3,6:00 PM,Rocket Mortgage FieldHouse,24,Charlotte,3,Cleveland,CHA Hornets,Charlotte,CLE Cavaliers,Cleveland,+11.5,−110,True,-11.5,−110,False,Charlotte,7-5-0,58.3%,-4.5,1.4,3-2-0,60.0%,-9.6,-1.9,Cleveland,10-4-0,71.4%,12.1,5.5,5-2-0,71.4%,13.0,5.1,Charlotte,+11.5,−110,7-4-0,63.6%,-5.4,1.7,Cleveland,-11.5,−110,8-4-0,66.7%,13.6,5.5,8,51.3,6:00 PM,Rocket Mortgage FieldHouse,24,Charlotte,3,Cleveland,CHA Hornets,Charlotte,CLE Cavaliers,Cleveland,+11.5,−110,True,-11.5,−110,False,Charlotte,785-808-33,49.3%,-3.5,-0.1,393-403-19,49.4%,-6.4,-0.2,Cleveland,898-930-36,49.1%,0.2,-0.3,455-466-12,49.4%,3.2,-0.1,Charlotte,+11.5,−110,539-570-28,48.6%,-6.9,-0.1,Cleveland,-11.5,−110,479-489-22,49.5%,6.2,-0.4,8,51.3,6:00 PM,Rocket Mortgage FieldHouse,24,Charlotte,3,Cleveland,CHA Hornets,Charlotte,CLE Cavaliers,Cleveland,+11.5,−110,True,-11.5,−110,False,Charlotte,386-410-18,48.5%,-2.6,-0.3,194-202-13,49.0%,-4.9,-0.3,Cleveland,419-467-21,47.3%,0.6,-0.4,216-231-8,48.3%,3.0,-0.4,Charlotte,+11.5,−110,236-263-16,47.3%,-7.0,-0.5,Cleveland,-11.5,−110,241-264-15,47.7%,6.2,-0.5
9,45.6,6:00 PM,Capital One Arena,23,Detroit,30,Washington,DET Pistons,Detroit,WAS Wizards,Washington,-5.5,−110,False,+5.5,−110,True,Detroit,8-5-1,61.5%,-2.1,2.5,4-2-1,66.7%,0.0,4.2,Washington,3-8-0,27.3%,-13.1,-3.4,1-4-0,20.0%,-11.8,-2.0,Washington,+5.5,−110,3-8-0,27.3%,-13.1,-3.4,Detroit,-5.5,−110,1-2-0,33.3%,1.3,-0.5,9,45.6,6:00 PM,Capital One Arena,23,Detroit,30,Washington,DET Pistons,Detroit,WAS Wizards,Washington,-5.5,−110,False,+5.5,−110,True,Detroit,869-895-41,49.3%,-1.1,-0.2,433-443-25,49.4%,-3.7,-0.1,Washington,822-911-37,47.4%,-2.4,-0.3,402-457-19,46.8%,0.7,0.0,Washington,+5.5,−110,523-557-24,48.4%,-6.2,0.2,Detroit,-5.5,−110,388-394-16,49.6%,5.1,-0.7,9,45.6,6:00 PM,Capital One Arena,23,Detroit,30,Washington,DET Pistons,Detroit,WAS Wizards,Washington,-5.5,−110,False,+5.5,−110,True,Detroit,390-404-22,49.1%,-3.6,-0.1,191-205-13,48.2%,-6.1,-0.3,Washington,395-435-17,47.6%,-2.1,-0.5,202-208-7,49.3%,0.9,0.2,Washington,+5.5,−110,237-249-10,48.8%,-6.1,0.2,Detroit,-5.5,−110,114-119-3,48.9%,3.9,-1.0
10,44.4,9:00 PM,Intuit Dome,29,Utah,18,La Clippers,UTA Jazz,Utah,LA Clippers,L.A. Clippers,+9.5,−105,True,-9.5,−115,False,Utah,6-6-0,50.0%,-11.3,-4.3,4-2-0,66.7%,-8.5,0.4,La Clippers,7-6-0,53.9%,-1.0,1.7,3-4-0,42.9%,0.0,-0.7,Utah,+9.5,−105,6-6-0,50.0%,-11.3,-4.3,La Clippers,-9.5,−115,2-2-0,50.0%,5.5,0.6,10,44.4,9:00 PM,Intuit Dome,29,Utah,18,La Clippers,UTA Jazz,Utah,LA Clippers,L.A. Clippers,+9.5,−105,True,-9.5,−115,False,Utah,889-871-37,50.5%,1.0,0.1,429-449-15,48.9%,-2.9,-0.5,La Clippers,880-919-20,48.9%,0.7,-0.1,430-461-8,48.3%,3.3,-0.4,Utah,+9.5,−105,392-407-16,49.1%,-5.6,0.2,La Clippers,-9.5,−115,504-484-13,51.0%,6.2,-0.1,10,44.4,9:00 PM,Intuit Dome,29,Utah,18,La Clippers,UTA Jazz,Utah,LA Clippers,L.A. Clippers,+9.5,−105,True,-9.5,−115,False,Utah,433-409-21,51.4%,2.2,0.5,214-203-8,51.3%,-1.0,0.0,La Clippers,447-437-7,50.6%,2.8,0.1,209-225-2,48.2%,4.7,-0.5,Utah,+9.5,−105,178-166-7,51.7%,-5.0,0.7,La Clippers,-9.5,−115,300-280-6,51.7%,6.8,0.1
