Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Charlotte,Philadelphia,Charlotte,+13,212.5.,206,[]
Milwaukee,Cleveland,Cleveland,-8.5,221.,225,[]
Oklahoma City,Miami,Oklahoma City,-1,217.5.,201,[]
