Rank,Hotness Score,Matchup,Time,Location
1,96.3,#10 Illinois  at  #58 Northwestern,9:00 PM,Welsh-Ryan Arena
2,89.5,#97 Georgetown  at  #53 W Virginia,7:00 PM,WVU Coliseum
3,82.9,#84 North Texas  at  #132 High Point,8:00 PM,Nido and Mariana Qubein Arena
4,78.3,#194 Miami (OH)  at  #35 Indiana,7:00 PM,Simon Skjodt Assembly Hall
5,67.0,#196 Brown  at  #152 Bryant,6:00 PM,Chace Athletic Center
6,57.9,#181 Kennesaw St  at  #229 Georgia St,7:00 PM,Georgia State Convocation Center
7,57.1,#212 Delaware  at  #207 Duquesne,6:00 PM,UPMC Cooper Fieldhouse
8,54.5,#293 Charl South  at  #115 Davidson,7:00 PM,McKillop Court at John M. Belk Arena
9,49.9,#316 Portland  at  #117 Kent St,7:00 PM,Memorial Athletic and Convocation Center
10,44.8,#153 St Peters  vs.  #326 Manhattan,7:00 PM,Victor R. Yanitelli Recreation Life Center
11,42.7,#265 Mt St Marys  at  #243 Marist,7:00 PM,McCann Arena
12,41.8,#359 Prairie View  at  #116 UAB,7:30 PM,Bartow Arena
13,39.6,#266 Quinnipiac  at  #258 Rider,7:00 PM,Alumni Gymnasium
14,30.6,#272 Iona  at  #303 Sacred Hrt,7:00 PM,William H. Pitt Health and Recreation Center
15,26.7,#232 Merrimack  at  #356 Canisius,7:00 PM,Koessler Athletic Center
16,25.9,#301 Siena  at  #302 Niagara,6:30 PM,Gallagher Center
17,--,Calumet  at  #321 E Illinois,1:00 PM,Groniger Arena
17,--,New College Of Florida  at  #246 Florida Intl,7:00 PM,Ocean Bank Convocation Center (FIU)
17,--,Trinity College (FL)  at  #349 Florida A&M,7:00 PM,Alfred Lawson Jr. Multipurpose Center
17,--,Campbellsville-Harrodsburg  at  #216 E Kentucky,7:00 PM,Seabury Center Arena
17,--,East-West University  at  #324 W Illinois,8:00 PM,LeRoy A. Ufkes Court at Western Hall
17,--,St. Joe's (Brooklyn)  at  #159 Hofstra,11:30 AM,David S. Mack Sports Complex
