Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Delaware,Duquesne,Duquesne,-3.5,145.,146,True
Brown,Bryant,Brown,5.5,153.5.,151,False
Siena,Niagara,Siena,2.0,127.5.,137,False
Iona,Sacred Heart,Sacred Heart,1.5,142.5.,142,True
Charleston Southern,Davidson,Charleston Southern,14.5,146.5.,145,False
Kennesaw St.,Georgia St.,Kennesaw St.,2.0,156.5.,158,False
Merrimack,Canisius,Merrimack,-7.0,133.5.,112,False
Portland,Kent St.,Kent St.,-13.0,140.5.,133,True
Miami (OH),Indiana,Indiana,-18.5,150.5.,133,True
Manhattan,Saint Peter'S,Manhattan,9.0,134.5.,137,False
Georgetown,West Virginia,West Virginia,-8.5,144.,133,True
Quinnipiac,Rider,Quinnipiac,1.0,143.,139,False
Mount St. Mary'S,Marist,Mount St. Mary's,5.5,135.5.,103,False
Prairie View A&M,UAB,UAB,-25.5,171.5.,161,True
North Texas,High Point,High Point,1.0,128.,147,True
Illinois,Northwestern,Northwestern,3.0,143.,136,True
