Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Fordham,Fordham,-5.0,138.,159,[],False
Seton Hall,Oklahoma State,-1.5,132.,161,[],False
Auburn,Auburn,-29.5,143.5.,152,[],False
Purdue,Purdue,-4.5,144.5.,161,[],False
Texas Christian,Vanderbilt,-2.5,149.5.,157,[],False
Niagara,Merrimack,-2.0,127.,142,[],False
Army,Cornell,-4.0,157.,187,[],False
Maryland-Eastern Shore,Maryland-Eastern Shore,4.5,127.5.,124,[],False
Central Florida,Tarleton State,24.0,135.5.,117,[],False
Iona,Iona,-1.0,130.5.,135,[],False
Canisius,Siena,-4.5,133.5.,119,[],False
New Hampshire,Harvard,-7.5,137.,134,[],False
Missouri,Missouri,6.5,153.5.,143,[],False
Purdue Fort Wayne,Robert Morris,9.5,147.,159,[],False
Mount St. Mary'S,Mount St. Mary's,-2.5,138.,195,[],False
Northeastern,Colgate,8.5,134.,153,[],False
Cincinnati,Howard,28.0,141.5.,151,[],False
SIU Edwardsville,SIU Edwardsville,-3.0,137.5.,151,[],False
Quinnipiac,Quinnipiac,-6.0,151.,156,[],False
Manhattan,Marist,-1.5,138.,157,[],False
Radford,Bucknell,6.5,133.5.,144,[],False
Texas Tech,Texas A&M,1.0,143.,139,[],False
Louisiana State,Florida Gulf Coast,14.5,141.,151,[],False
Samford,Samford,-13.0,150.5.,119,[],False
Saint Louis,Chicago St.,25.5,154.5.,147,[],False
Stetson,Mercer,-3.5,153.,172,[],False
Texas State,Texas State,-6.0,134.,141,[],False
Memphis,Arkansas St.,12.0,152.,157,[],False
Murray St.,Murray St.,-16.0,146.5.,126,[],False
Mississippi State,Prairie View A&M,38.5,164.,175,[],False
South Alabama,Jacksonville St.,4.5,137.,150,[],False
UL Lafayette,Louisiana Tech,-6.5,147.,127,[],False
Texas,Connecticut,1.5,141.,141 pushed the pre-game total of 141.,[],False
Illinois-Chicago,Dartmouth,11.0,152.5.,137,[],False
Oregon,UCLA,3.5,138.,144,[],False
Louisville,Duke,-8.0,146.5.,141,[],False
Iowa State,Iowa State,-36.5,145.5.,158,[],False
