Team,ATS Record,Cover %,MOV,ATS +/-
Marquette,24-24-1,50.0%,2.8,+0.8
UCLA,24-24-3,50.0%,1.7,-1.4
Wash State,13-13-0,50.0%,4.9,+4.2
Ohio,20-20-1,50.0%,-0.3,+0.8
UCSD,5-5-0,50.0%,0.1,+1.2
Boston Col,21-21-1,50.0%,-0.9,+1.7
Duquesne,15-15-0,50.0%,-1.7,-0.7
W Illinois,9-9-0,50.0%,-4.4,-0.6
Boise St,16-16-1,50.0%,0.8,+0.5
Bellarmine,4-4-1,50.0%,14.0,+3.3
TX A&M-Com,2-2-0,50.0%,-5.3,-2.9
Princeton,86-87-3,49.7%,5.2,-0.6
Harvard,81-82-1,49.7%,1.3,+0.5
U Penn,83-85-3,49.4%,4.3,+0.5
Michigan St,31-32-1,49.2%,5.0,+0.4
Col Charlestn,30-31-1,49.2%,2.0,-0.2
Weber St,29-30-0,49.2%,0.8,-0.3
Middle Tenn,27-28-0,49.1%,1.0,+2.2
S Alabama,24-25-0,49.0%,0.4,-0.3
Stanford,24-25-3,49.0%,1.6,-1.6
Montana,24-25-0,49.0%,1.3,-0.5
W Virginia,22-23-1,48.9%,2.0,+0.3
Missouri,22-23-1,48.9%,-0.8,-0.6
Auburn,21-22-0,48.8%,1.1,+0.1
James Mad,21-22-0,48.8%,0.1,-0.9
Florida Intl,20-21-2,48.8%,-4.7,-2.8
Wyoming,19-20-0,48.7%,-1.4,0.0
Murray St,18-19-3,48.7%,1.9,+0.4
Wofford,18-19-0,48.7%,0.3,-0.8
E Michigan,15-16-0,48.4%,-3.4,-1.0
E Kentucky,15-16-0,48.4%,-1.6,-1.8
Dartmouth,73-78-4,48.3%,-5.7,-0.3
NC-Asheville,14-15-0,48.3%,-1.9,-1.6
Fairfield,25-27-1,48.1%,-2.4,-0.2
Illinois,25-27-0,48.1%,2.1,-0.3
Maryland,24-26-0,48.0%,1.1,-0.8
Oklahoma St,22-24-2,47.8%,-0.2,-0.4
Louisiana,22-24-3,47.8%,-0.8,-0.2
CS Fullerton,21-23-2,47.7%,-2.0,-0.2
USC,21-23-0,47.7%,0.2,+1.1
W Michigan,19-21-0,47.5%,-0.9,+0.1
IL-Chicago,19-21-0,47.5%,-2.7,+0.7
W Carolina,19-21-0,47.5%,-0.8,+1.1
UAB,27-30-0,47.4%,-0.7,-0.8
Austin Peay,18-20-1,47.4%,-2.5,-0.2
TX-Pan Am,9-10-1,47.4%,-0.9,+2.5
Providence,17-19-1,47.2%,-2.9,-1.5
Kansas St,17-19-0,47.2%,-3.4,-1.7
Cal Poly,16-18-1,47.1%,-6.0,+0.1
Winthrop,16-18-0,47.1%,2.4,-1.4
Beth-Cook,8-9-0,47.1%,-8.0,-3.0
Southern,8-9-0,47.1%,-6.3,-2.9
St Johns,23-26-0,46.9%,-1.1,-1.7
Purdue,23-26-2,46.9%,3.2,+0.1
SE Missouri,15-17-1,46.9%,-2.8,-0.8
WI-Milwkee,22-25-2,46.8%,-0.2,-0.5
Central Conn,7-8-0,46.7%,-5.5,+0.8
Furman,14-16-0,46.7%,0.3,-0.2
Saint Louis,21-24-1,46.7%,-0.7,+0.2
Wm & Mary,14-16-1,46.7%,-5.3,-2.0
Oral Roberts,20-23-2,46.5%,0.3,+1.1
Utah,20-23-2,46.5%,0.6,-2.0
Delaware,19-22-0,46.3%,-2.8,-1.7
Lafayette,6-7-0,46.2%,0.5,-2.1
Jackson St,6-7-0,46.2%,-2.9,+0.5
Troy,18-21-1,46.2%,-3.2,-2.0
Maine,6-7-1,46.2%,-2.7,-1.3
Bryant,6-7-0,46.2%,-2.1,-1.8
St Marys,29-34-1,46.0%,0.8,-0.1
Portland,23-27-0,46.0%,-6.1,-1.2
LSU,17-20-1,46.0%,-1.4,-2.0
UCSB,21-25-0,45.7%,0.9,-1.6
Toledo,21-25-0,45.7%,-0.2,-2.8
